Replicate,Strain,Medium 
1,WT,YPD
2,WT,YPD
3,WT,YPD
1,WT,YPD + Serum
2,WT,YPD + Serum
3,WT,YPD + Serum
1,WT,Murine Large Intestine
2,WT,Murine Large Intestine
3,WT,Murine Large Intestine
4,WT,Murine Large Intestine
5,WT,Murine Large Intestine
1,ume6,YPD
2,ume6,YPD
3,ume6,YPD
1,ume6,YPD + Serum
2,ume6,YPD + Serum
3,ume6,YPD + Serum
1,ume6,Murine Large Intestine
2,ume6,Murine Large Intestine
3,ume6,Murine Large Intestine
4,ume6,Murine Large Intestine
5,ume6,Murine Large Intestine