,CAB1,CAB2,CAB3,Fnp1,Fnp2,Fnp3
AT688_RS02990,1491,981,1161,6432,5077,5940
AT688_RS02995,210,97,152,637,463,699
AT688_RS03000,79,62,71,375,272,403
AT688_RS03005,10,7,7,54,58,85
AT688_RS03010,56,62,75,476,457,587
AT688_RS03015,6,0,5,20,17,22
AT688_RS03020,40,28,28,172,130,188
AT688_RS03025,1,3,1,6,9,8
AT688_RS03030,21,11,18,102,55,98
AT688_RS03035,770,589,781,2520,1921,3046
AT688_RS03040,481,322,371,1354,1127,1632
AT688_RS03045,240,100,156,657,478,775
AT688_RS03050,10,3,4,30,20,29
AT688_RS03055,11,6,10,27,20,41
AT688_RS03060,28,11,12,137,124,145
AT688_RS03065,0,0,0,0,0,0
AT688_RS03070,0,0,1,0,2,2
AT688_RS03075,4,1,2,4,0,1
AT688_RS03085,428,232,296,2173,1843,2339
AT688_RS03090,284,167,196,1079,920,1252
AT688_RS03095,472,280,361,3165,2702,3472
AT688_RS03100,650,396,532,4445,3732,4733
AT688_RS03105,12,15,23,101,79,107
AT688_RS03110,80,63,80,302,250,294
AT688_RS03115,253,139,164,438,346,489
AT688_RS03120,2883,1935,2443,9667,9510,11501
AT688_RS03125,406,266,366,2317,2184,2473
AT688_RS03130,190,99,148,936,792,1011
AT688_RS03135,824,549,773,3674,3283,3887
AT688_RS03140,358,177,256,1464,1430,1789
AT688_RS03145,405,266,375,1458,1321,1686
AT688_RS03150,691,399,586,2386,1912,2546
AT688_RS03155,587,364,519,1950,1711,1984
AT688_RS03160,252,158,225,659,592,716
AT688_RS03165,17,7,11,42,30,65
AT688_RS03170,2,0,0,1,0,1
AT688_RS03190,0,0,0,0,0,1
AT688_RS03195,0,0,1,1,4,5
AT688_RS03215,535,347,491,1486,1265,1649
AT688_RS03220,101,41,55,141,82,137
AT688_RS03225,186,150,190,1087,1049,1269
AT688_RS03230,67,28,43,624,409,672
AT688_RS03235,174,88,108,977,597,1005
AT688_RS03240,165,108,149,687,666,1033
AT688_RS03245,4600,3342,4310,14148,12351,15907
AT688_RS03250,31,24,37,122,75,159
AT688_RS03255,402,276,421,2035,1651,2204
AT688_RS03260,1082,782,929,2988,2374,3490
AT688_RS03265,228,149,201,1112,1106,1424
AT688_RS03270,28,26,24,254,205,287
AT688_RS03275,35,24,27,311,221,311
AT688_RS03280,17,14,13,129,80,165
AT688_RS03285,28,9,18,129,101,110
AT688_RS03290,13,7,21,86,74,103
AT688_RS03295,7,2,2,26,11,23
AT688_RS03300,6,12,3,20,34,32
AT688_RS03305,43,21,41,158,114,170
AT688_RS03310,34,30,29,121,99,136
AT688_RS03315,163,96,152,545,445,503
AT688_RS03320,171,80,118,362,235,337
AT688_RS03325,5,2,6,15,19,15
AT688_RS03330,0,1,0,1,0,2
AT688_RS03335,2,6,2,3,3,5
AT688_RS03340,6,0,0,14,9,6
AT688_RS03345,32,14,12,113,55,96
AT688_RS03350,0,0,0,0,0,0
AT688_RS03355,350,232,272,2349,1861,2410
AT688_RS03360,74,36,62,548,460,534
AT688_RS03365,101,48,71,625,626,783
AT688_RS03370,483,320,460,3164,2886,3419
AT688_RS03375,50,21,49,106,74,101
AT688_RS03380,5343,3681,4551,31278,28293,35710
AT688_RS03385,717,232,373,2258,1191,2167
AT688_RS03390,109,87,131,465,386,469
AT688_RS03395,48,29,34,70,64,60
AT688_RS03400,17,5,20,44,34,56
AT688_RS03405,36,17,37,88,57,99
AT688_RS03410,76,40,50,226,204,255
AT688_RS03415,194,102,165,1246,883,1293
AT688_RS03420,1940,1141,1508,7503,5814,8429
AT688_RS03425,17,15,9,53,65,62
AT688_RS03430,163,113,125,465,383,524
AT688_RS03435,62,48,41,219,153,256
AT688_RS03440,10831,7305,9715,49469,42011,54065
AT688_RS03445,99,50,71,551,387,510
AT688_RS03450,1605,938,1249,4977,3515,4377
AT688_RS03455,167,74,119,576,502,783
AT688_RS03460,25,15,16,117,93,139
AT688_RS03465,323,191,289,814,634,802
AT688_RS03470,123,42,51,361,205,326
AT688_RS03475,14918,11273,13968,45763,43347,47905
AT688_RS03480,181,135,161,1274,1099,1289
AT688_RS03485,39,15,25,257,130,203
AT688_RS03490,156,67,124,1061,687,953
AT688_RS03495,53,25,29,352,217,271
AT688_RS03500,6,0,9,19,29,24
AT688_RS03505,47,18,22,200,145,210
AT688_RS03510,147,92,135,848,714,981
AT688_RS03515,81,51,65,305,313,317
AT688_RS03520,1263,795,1013,4743,3369,4416
AT688_RS03525,1120,543,699,3109,2025,2890
AT688_RS03530,397,172,264,1232,676,864
AT688_RS03535,2782,1679,2168,5430,3947,5602
AT688_RS03540,105,89,104,407,280,347
AT688_RS03545,25,7,14,155,125,165
AT688_RS03550,0,1,0,6,3,4
AT688_RS03555,53,22,41,152,99,141
AT688_RS03560,406,248,280,1334,1198,1652
AT688_RS03565,33,16,16,37,16,47
AT688_RS03570,92,49,60,288,210,255
AT688_RS03575,78,54,75,399,327,441
AT688_RS03580,140,82,120,650,508,665
AT688_RS03585,289,157,233,1618,1434,1716
AT688_RS03590,202,121,163,718,439,685
AT688_RS03595,351,186,227,2413,1642,2204
AT688_RS03600,22,9,6,344,264,392
AT688_RS03605,2,2,3,26,23,33
AT688_RS03610,0,0,3,19,12,11
AT688_RS03615,188,78,186,1830,1249,2060
AT688_RS03620,29,23,22,352,226,387
AT688_RS03625,0,0,0,1,1,0
AT688_RS03630,0,0,1,9,7,17
AT688_RS03635,168,139,152,708,669,789
AT688_RS03640,965,714,705,3746,3204,3611
AT688_RS03645,27,35,33,165,121,167
AT688_RS03650,260,174,220,1344,1073,1455
AT688_RS03655,197,118,158,647,465,713
AT688_RS03660,373,227,311,1651,1399,1663
AT688_RS03665,164,97,133,591,446,631
AT688_RS03670,133,107,144,616,515,727
AT688_RS03675,198,97,150,956,795,984
AT688_RS03680,46,27,41,263,213,313
AT688_RS03685,4,2,3,19,17,29
AT688_RS03695,37,28,29,98,60,68
AT688_RS03700,175,116,154,779,626,834
AT688_RS03705,231,183,256,1294,1285,1579
AT688_RS03710,92,55,58,331,257,365
AT688_RS03715,2754,1643,2201,14352,11516,14974
AT688_RS03720,114,60,82,655,430,514
AT688_RS03725,73,19,42,201,140,201
AT688_RS03730,10,5,7,72,40,82
AT688_RS03735,3,1,3,8,9,17
AT688_RS03740,12,16,11,104,69,73
AT688_RS03745,1,4,3,49,31,68
AT688_RS03750,28,15,29,109,77,138
AT688_RS03755,1,2,0,1,3,2
AT688_RS03760,13,11,6,42,18,46
AT688_RS03765,9,7,8,117,116,140
AT688_RS03770,12,4,11,76,82,113
AT688_RS03775,65,54,82,613,518,602
AT688_RS03780,40,20,16,163,114,151
AT688_RS03785,0,0,0,0,0,0
AT688_RS03800,8,1,1,8,7,8
AT688_RS03805,29,21,13,66,54,57
AT688_RS03810,17,8,18,47,50,42
AT688_RS03815,171,113,129,738,644,786
AT688_RS03820,3644,2449,3261,11571,10134,12757
AT688_RS03825,1,0,0,6,4,5
AT688_RS03830,15,9,8,84,48,48
AT688_RS03845,137,97,149,286,226,251
AT688_RS03850,5,0,7,13,7,13
AT688_RS03855,167,103,111,428,347,464
AT688_RS03860,9,2,7,25,14,29
AT688_RS03865,196,64,94,431,213,353
AT688_RS03870,275,106,141,564,316,570
AT688_RS03875,338,188,234,1130,913,1098
AT688_RS03880,542,329,446,2237,1817,2362
AT688_RS03885,135,105,92,634,543,727
AT688_RS03890,331,224,289,1970,1550,2146
AT688_RS03895,246,160,165,698,478,639
AT688_RS03900,1322,746,849,5420,3867,4990
AT688_RS03905,1,0,0,2,6,0
AT688_RS03910,544,379,563,1843,1626,1780
AT688_RS03915,67,39,47,218,239,265
AT688_RS03920,282,200,247,867,672,1008
AT688_RS03925,140,101,107,366,284,340
AT688_RS03930,15,13,17,113,90,145
AT688_RS03935,80,53,65,514,393,536
AT688_RS03940,52,38,70,516,487,670
AT688_RS03945,17,13,14,168,174,186
AT688_RS03950,89,57,101,571,504,685
AT688_RS03955,501,333,425,2984,2610,3240
AT688_RS03960,73,53,52,239,149,236
AT688_RS03965,52,29,43,301,257,303
AT688_RS03970,66,57,67,290,312,316
AT688_RS03975,31,39,29,153,152,165
AT688_RS03985,130,89,79,621,409,565
AT688_RS03990,328,199,222,947,629,821
AT688_RS03995,4141,1949,2759,27590,16741,24454
AT688_RS04000,1638,978,1177,9020,7916,11882
AT688_RS04005,1239,788,953,4994,3857,5211
AT688_RS04010,41,16,39,237,221,243
AT688_RS04015,287,164,250,1374,1157,1472
AT688_RS04020,23,14,14,57,30,50
AT688_RS04025,48,20,23,72,63,96
AT688_RS04030,554,263,387,1596,1266,1730
AT688_RS04035,116,64,46,424,413,529
AT688_RS04040,580,373,460,2190,1916,2548
AT688_RS04045,9,4,8,33,20,30
AT688_RS04050,26,10,23,156,116,137
AT688_RS04055,12,5,8,61,37,45
AT688_RS04060,158,132,143,644,822,937
AT688_RS04065,17,13,13,73,83,142
AT688_RS04070,250,166,243,1416,1394,1589
AT688_RS04075,92,73,80,450,426,468
AT688_RS04080,26,7,31,169,92,120
AT688_RS04085,323,161,183,1546,1280,1563
AT688_RS04090,6,3,5,68,83,100
AT688_RS04095,177,111,152,828,620,899
AT688_RS04100,19,14,16,79,65,97
AT688_RS04105,163,108,129,629,538,675
AT688_RS04110,67,61,51,592,530,623
AT688_RS04115,69,55,53,324,270,369
AT688_RS04120,161,75,96,687,552,660
AT688_RS04125,167,105,140,741,594,899
AT688_RS04130,191,96,134,732,522,899
AT688_RS04135,1,0,1,1,9,5
AT688_RS04140,50,25,29,154,95,143
AT688_RS04145,63,33,36,211,119,205
AT688_RS04150,140,61,84,752,636,812
AT688_RS04155,200,99,162,560,501,610
AT688_RS04160,29,12,17,108,83,103
AT688_RS04165,14,9,10,76,50,87
AT688_RS04170,219,164,239,993,960,977
AT688_RS04175,1153,727,887,3310,2665,3549
AT688_RS04180,307,259,294,1695,1677,2136
AT688_RS04185,278,167,259,1376,1167,1560
AT688_RS04190,202,143,185,861,656,940
AT688_RS04195,217,161,195,724,759,903
AT688_RS04215,186,73,137,243,138,201
AT688_RS04220,60,26,30,340,268,335
AT688_RS04225,23,11,12,86,79,82
AT688_RS04230,177,76,130,494,429,494
AT688_RS04235,56,38,42,358,399,430
AT688_RS04240,74,35,69,223,195,198
AT688_RS04245,22,18,18,68,32,62
AT688_RS04250,0,0,1,3,1,3
AT688_RS04255,46,13,30,94,69,69
AT688_RS04260,17,7,14,52,41,44
AT688_RS04265,46,35,58,342,297,398
AT688_RS04270,44,31,40,431,318,353
AT688_RS04275,44,21,32,188,181,189
AT688_RS04280,25,12,17,95,50,75
AT688_RS04285,394,203,293,1180,776,1101
AT688_RS04290,1226,694,861,4738,3418,4452
AT688_RS04295,28,19,28,181,125,206
AT688_RS04300,27,5,13,94,62,81
AT688_RS04305,68,21,63,480,431,569
AT688_RS04310,14,5,9,59,35,40
AT688_RS04315,35,22,22,64,52,94
AT688_RS04320,129,95,131,523,393,534
AT688_RS04325,11,4,11,41,25,35
AT688_RS04330,3,3,4,31,20,25
AT688_RS04335,10,3,5,20,10,14
AT688_RS04340,53,27,46,76,66,98
AT688_RS04345,21,11,17,126,109,147
AT688_RS04350,14,10,14,85,69,106
AT688_RS04355,109,46,92,479,371,522
AT688_RS12280,149,109,136,634,464,627
AT688_RS04365,131,57,83,626,384,602
AT688_RS04370,134,55,79,314,228,296
AT688_RS04375,6,5,5,22,20,35
AT688_RS04380,111,59,89,314,231,362
AT688_RS04385,11,7,16,41,14,37
AT688_RS04390,40,9,17,121,74,120
AT688_RS04395,72,32,57,253,141,205
AT688_RS04400,259,127,169,609,500,699
AT688_RS04405,17,24,14,150,125,150
AT688_RS04410,0,0,2,7,7,13
AT688_RS04415,0,0,1,22,16,19
AT688_RS04420,13,13,11,99,69,86
AT688_RS04425,5,7,6,54,46,67
AT688_RS04430,11,5,17,144,102,141
AT688_RS04435,37,5,22,133,171,160
AT688_RS04440,20,8,11,84,61,72
AT688_RS04445,382,230,343,442,250,374
AT688_RS04450,31,16,29,98,56,75
AT688_RS04455,68,40,31,191,100,143
AT688_RS04460,161,114,146,685,623,634
AT688_RS04465,341,112,161,938,551,896
AT688_RS04470,603,283,359,1626,1106,1595
AT688_RS04475,150,75,101,421,307,389
AT688_RS04480,68,29,53,197,118,207
AT688_RS04485,347,241,281,1528,1161,1625
AT688_RS04490,1,0,0,2,0,6
AT688_RS04495,233,147,180,739,650,901
AT688_RS04500,74,53,63,198,205,213
AT688_RS04505,2010,1191,1704,8550,7366,9254
AT688_RS04510,212,128,141,790,680,877
AT688_RS04515,247,140,202,949,774,968
AT688_RS04520,0,0,0,5,2,8
AT688_RS04525,76,53,75,342,251,352
AT688_RS04530,10,6,9,33,21,36
AT688_RS04535,177,122,176,688,564,743
AT688_RS04540,387,246,303,1933,1464,1833
AT688_RS04545,14,5,3,35,14,29
AT688_RS04550,98,52,66,315,203,339
AT688_RS04555,266,199,288,885,795,998
AT688_RS04560,17,11,13,71,85,75
AT688_RS04565,200,167,197,818,568,805
AT688_RS04570,149,116,168,869,938,1081
AT688_RS04575,3,2,0,40,25,39
AT688_RS04580,13,5,7,83,56,105
AT688_RS04585,58,44,49,381,338,440
AT688_RS04590,85,68,63,365,334,427
AT688_RS04595,2,0,2,18,22,13
AT688_RS04600,35,31,36,110,117,114
AT688_RS04605,1,0,0,1,0,0
AT688_RS04610,11,2,10,30,12,19
AT688_RS04615,14,7,9,28,13,29
AT688_RS04620,2040,1347,1574,7406,6110,7825
AT688_RS04625,2251,1232,1522,10131,8321,11075
AT688_RS04630,193,110,148,1011,746,1024
AT688_RS04635,27,12,21,187,183,215
AT688_RS04640,33,17,23,141,99,140
AT688_RS04645,97,70,93,625,718,829
AT688_RS04650,9,7,16,129,90,125
AT688_RS04655,8,2,8,50,29,56
AT688_RS04660,5,2,3,10,5,13
AT688_RS04665,12,9,5,88,42,74
AT688_RS04670,1,0,3,5,12,11
AT688_RS04675,6,0,4,64,38,51
AT688_RS04680,8,2,3,28,24,34
AT688_RS04685,3,1,0,7,0,8
AT688_RS04690,19,9,11,118,68,106
AT688_RS04695,27,11,35,107,85,110
AT688_RS04700,21,23,17,115,98,154
AT688_RS04705,61,18,38,196,172,213
AT688_RS04710,50,54,65,330,311,373
AT688_RS04720,12,2,13,57,18,41
AT688_RS04725,3,1,6,21,14,18
AT688_RS04730,0,1,2,14,7,17
AT688_RS04735,152,76,106,841,652,847
AT688_RS04740,23,2,4,45,32,56
AT688_RS04745,1,2,1,6,2,10
AT688_RS04750,3,2,2,2,1,4
AT688_RS04755,81,71,83,430,309,444
AT688_RS04760,67,22,50,454,316,343
AT688_RS04765,81,68,86,441,348,439
AT688_RS04770,31,13,12,101,54,83
AT688_RS04775,82,52,60,109,76,87
AT688_RS04780,3305,2325,3138,15277,13881,18475
AT688_RS04785,872,593,886,4067,3478,4862
AT688_RS04790,13,9,10,50,13,47
AT688_RS04795,17,18,20,96,92,165
AT688_RS04800,3,1,3,14,11,20
AT688_RS04805,538,265,354,1142,681,1215
AT688_RS04810,145,63,127,626,563,703
AT688_RS04815,39,27,35,197,199,242
AT688_RS04820,21,6,18,152,94,102
AT688_RS04825,117,62,118,753,518,601
AT688_RS04830,1,2,3,16,12,9
AT688_RS04835,0,0,2,18,10,19
AT688_RS04840,79,25,51,661,453,634
AT688_RS04845,69,41,51,355,269,336
AT688_RS04850,1,2,4,14,13,26
AT688_RS04855,128,117,137,999,965,1205
AT688_RS04860,265,140,178,1164,901,1119
AT688_RS04865,1,0,0,4,2,7
AT688_RS04870,116,55,89,623,474,570
AT688_RS04875,99,67,131,784,636,825
AT688_RS04880,44,26,21,245,183,215
AT688_RS04885,14,10,9,59,39,60
AT688_RS04890,212,131,170,622,481,597
AT688_RS04895,5,4,2,14,8,17
AT688_RS04900,67,36,48,158,138,155
AT688_RS04905,9,2,5,12,9,7
AT688_RS04910,203,135,154,388,291,446
AT688_RS04915,18,8,15,55,43,68
AT688_RS04920,1,3,1,6,4,5
AT688_RS04925,0,3,3,10,6,7
AT688_RS04930,54,46,49,186,215,205
AT688_RS04935,510,277,458,2245,1817,2402
AT688_RS04940,122,78,97,515,406,494
AT688_RS04945,28,9,12,85,68,73
AT688_RS04950,95,66,112,306,218,330
AT688_RS04955,168,109,124,530,384,515
AT688_RS04960,1,0,0,3,5,0
AT688_RS04970,0,0,0,0,0,0
AT688_RS04975,2,0,1,0,0,1
AT688_RS04985,18,2,7,24,24,32
AT688_RS04990,19,18,12,76,61,75
AT688_RS04995,41,30,26,178,149,195
AT688_RS05000,39,22,19,254,206,304
AT688_RS05005,110,56,70,378,246,397
AT688_RS05010,43,33,42,390,299,376
AT688_RS05015,8,9,8,70,68,70
AT688_RS05020,9,4,0,54,22,37
AT688_RS05025,4,2,9,61,58,63
AT688_RS05030,0,0,3,3,7,3
AT688_RS05035,1318,937,1201,10523,10089,12102
AT688_RS05040,1264,736,931,6605,5695,7221
AT688_RS05045,8446,5645,7246,32440,27973,35618
AT688_RS05050,196,137,175,1052,924,1314
AT688_RS05055,6,7,8,41,49,56
AT688_RS05060,263,200,258,892,862,1029
AT688_RS05065,298,192,236,1380,1228,1618
AT688_RS05070,417,202,259,1359,1088,1585
AT688_RS05075,111,55,71,527,352,505
AT688_RS05080,433,303,374,2751,2449,2986
AT688_RS05085,97,43,65,554,353,479
AT688_RS05090,80,46,56,263,202,273
AT688_RS05095,20,9,15,67,44,79
AT688_RS05105,47,23,46,174,121,200
AT688_RS05110,0,0,0,0,1,3
AT688_RS05115,0,2,5,12,21,21
AT688_RS05120,112,92,100,659,564,747
AT688_RS05125,222,179,230,1445,1173,1479
AT688_RS05130,193,139,185,1517,1362,1638
AT688_RS05135,312,234,262,2122,1890,2370
AT688_RS05140,193,103,114,1177,964,1348
AT688_RS05145,83,61,85,464,421,510
AT688_RS05150,25,11,13,107,81,115
AT688_RS05155,19,9,12,61,60,85
AT688_RS05160,65,37,56,172,232,255
AT688_RS05165,40,8,16,105,51,70
AT688_RS05170,7,2,3,22,14,18
AT688_RS05175,123,64,81,348,275,354
AT688_RS05180,177,114,170,517,408,549
AT688_RS05185,9,5,3,42,24,23
AT688_RS05190,9,3,6,29,10,17
AT688_RS05195,11,4,7,21,14,17
AT688_RS05200,92,68,83,505,371,508
AT688_RS05205,434,309,333,2569,2275,2784
AT688_RS05210,756,310,435,1245,734,1206
AT688_RS05215,16,26,15,86,144,142
AT688_RS05220,3,1,8,34,43,58
AT688_RS05225,78,54,66,358,300,414
AT688_RS05230,0,1,1,9,0,10
AT688_RS05235,4,0,15,30,19,39
AT688_RS05240,13,5,8,84,45,89
AT688_RS05245,11,3,2,32,20,38
AT688_RS05250,128,66,96,773,583,813
AT688_RS05255,273,129,170,1575,1196,1638
AT688_RS05260,0,0,1,1,1,1
AT688_RS05265,31,14,29,163,129,168
AT688_RS05270,84,32,57,374,290,400
AT688_RS05275,578,429,490,2288,2237,2655
AT688_RS05280,789,547,776,2701,2228,2976
AT688_RS05285,138,73,97,250,135,210
AT688_RS05290,10,10,15,101,58,129
AT688_RS05295,53,19,29,152,100,154
AT688_RS05300,4755,3158,4199,20497,16860,20735
AT688_RS05305,82,40,64,161,83,145
AT688_RS05310,426,242,370,1080,847,1077
AT688_RS05315,280,131,205,719,509,649
AT688_RS05320,10,3,0,20,9,21
AT688_RS05325,1,0,0,3,2,1
AT688_RS05330,0,0,1,2,3,11
AT688_RS05335,0,0,1,7,7,13
AT688_RS05345,14,1,6,48,27,42
AT688_RS05350,39,32,39,129,99,130
AT688_RS05355,15,12,21,111,91,131
AT688_RS05360,34,24,24,127,123,154
AT688_RS05365,5,0,4,11,14,20
AT688_RS05370,3,2,6,39,55,58
AT688_RS05375,113,63,91,452,347,502
AT688_RS05380,28,12,12,69,45,65
AT688_RS05385,69,41,49,298,288,308
AT688_RS05390,208,122,139,987,820,1123
AT688_RS05395,4,4,8,41,15,21
AT688_RS05400,39,33,20,286,229,294
AT688_RS05405,1,1,6,25,25,43
AT688_RS12015,4,7,1,22,26,38
AT688_RS05415,16,1,6,58,30,39
AT688_RS05420,3,0,0,1,1,2
AT688_RS05430,39,26,23,185,138,191
AT688_RS05435,17,18,5,122,88,89
AT688_RS05440,37,33,39,224,202,311
AT688_RS05445,228,174,252,1115,915,1125
AT688_RS05450,1749,1169,1851,12527,10656,13417
AT688_RS05455,1239,837,1070,7245,6403,8002
AT688_RS05460,1037,553,776,7218,5525,8213
AT688_RS05465,565,304,432,4310,3005,4622
AT688_RS05470,837,392,571,3825,2769,3960
AT688_RS05475,509,290,374,1552,967,1490
AT688_RS05480,474,225,339,1435,1087,1657
AT688_RS05485,136,52,70,406,333,447
AT688_RS05490,26,18,28,263,323,373
AT688_RS05495,1,1,0,12,16,14
AT688_RS05500,4,0,9,10,11,17
AT688_RS05505,189,104,160,1268,977,1431
AT688_RS05510,14325,8202,11107,25979,21666,28381
AT688_RS05515,3,2,3,42,27,20
AT688_RS05520,41,35,25,60,56,44
AT688_RS05525,5,1,1,11,10,16
AT688_RS05530,38,8,28,130,123,141
AT688_RS05535,156,85,92,675,468,698
AT688_RS05540,69,39,26,349,259,330
AT688_RS05545,596,444,510,3480,2997,4011
AT688_RS05550,121,86,69,798,792,1046
AT688_RS05555,84,47,62,614,449,635
AT688_RS05560,844,532,701,5783,5360,6908
AT688_RS05565,632,453,520,3072,2850,3651
AT688_RS05570,337,179,261,2159,1719,2453
AT688_RS05575,184,128,139,1098,866,1100
AT688_RS05580,7,5,2,26,17,16
AT688_RS05585,11,1,0,31,11,35
AT688_RS05590,4,2,0,12,16,18
AT688_RS05595,0,0,3,10,1,5
AT688_RS05600,1,0,1,14,3,16
AT688_RS05605,21,18,11,130,101,176
AT688_RS05610,9,8,11,95,106,141
AT688_RS05615,16,8,8,106,91,100
AT688_RS05620,17,5,20,97,85,99
AT688_RS05630,1,0,2,2,5,2
AT688_RS05635,1,0,1,7,7,4
AT688_RS05640,9,8,16,107,92,117
AT688_RS05645,6,4,6,38,43,55
AT688_RS05650,1,2,3,25,32,45
AT688_RS05655,0,0,1,10,11,20
AT688_RS05660,2,1,1,11,7,18
AT688_RS05665,12,4,5,41,56,57
AT688_RS05670,1,2,2,35,33,41
AT688_RS05675,0,1,0,28,16,24
AT688_RS05680,1,2,0,37,35,45
AT688_RS05685,10,6,12,78,77,110
AT688_RS05690,23,11,13,97,86,109
AT688_RS05695,11,4,10,76,100,141
AT688_RS05700,2,0,5,4,9,6
AT688_RS05705,10,5,7,141,92,142
AT688_RS12290,20,15,6,142,96,143
AT688_RS05715,1,3,0,9,16,6
AT688_RS05720,8,4,9,95,88,101
AT688_RS05725,33,33,49,157,136,165
AT688_RS05730,33,8,40,138,85,122
AT688_RS05735,5,6,6,35,23,32
AT688_RS05740,33,29,34,177,268,245
AT688_RS05745,6,1,6,14,24,31
AT688_RS05750,413,258,350,2173,1968,2155
AT688_RS05755,301,147,205,1375,1064,1437
AT688_RS05760,275,165,229,1063,1023,1113
AT688_RS05765,531,438,555,2694,2726,3237
AT688_RS05770,14,4,10,20,13,22
AT688_RS05775,40,8,29,95,59,80
AT688_RS05780,15,10,14,55,39,54
AT688_RS05785,5,3,5,15,6,16
AT688_RS05790,5,3,6,41,10,33
AT688_RS05795,59,50,75,269,229,297
AT688_RS05800,34,22,32,154,117,222
AT688_RS05805,26,19,33,179,151,238
AT688_RS05810,124,84,112,621,638,682
AT688_RS05815,61,28,47,348,406,445
AT688_RS05820,165,86,145,1391,1333,1597
AT688_RS05825,96,75,77,839,605,854
AT688_RS05830,99,33,63,330,197,315
AT688_RS05835,77,42,43,240,161,239
AT688_RS05840,187,89,128,624,438,652
AT688_RS05845,5,1,6,38,19,39
AT688_RS05850,209,114,196,618,508,688
