geneid,Off1,On1,On2,Off3,On3,Off2
purR,19838,22862,22723,20160,23164,20618
purU,3186,3356,3681,3478,3595,3234
putP,14255,17260,17682,14984,17779,15225
puuB,6638,5020,5161,7211,5110,6813
pykA,88182,82586,83921,91253,84155,92305
pyrD,4092,3571,3541,4261,3533,4308
pyrE,4627,4733,4770,4942,4728,4949
pyrF,11521,9466,9947,12501,9825,12120
pyrG,20790,17931,18499,22041,18524,21806
pyrH,3799,3536,3558,4118,3669,3846
pyrP,2941,3800,3900,3109,3820,3000
pyrR,3799,3283,3379,3899,3443,3841
qseC,14394,14233,14666,15689,14458,15797
queA,80686,62923,66213,86492,64749,84061
queC,869,785,760,1000,862,970
queD,627,531,623,668,593,709
queE,1482,1300,1391,1509,1387,1556
queF,3683,3412,3639,3862,3703,4054
raiA,9400,19770,20167,10262,20044,10299
rapA,33014,32990,34276,35245,34055,34535
rarA,6064,4813,4902,6247,4721,6418
rarD_1,2915,2746,2985,3069,2873,2970
rarD_2,987,302,299,1108,300,1041
rbfA,8039,7469,7764,8616,7774,8426
rbsA,2417,6118,6310,2543,6171,2512
rbsB,3367,9930,10350,3571,10137,3579
rbsC,1643,5002,5069,1827,5019,1739
rbsD,1129,2212,2260,1240,2290,1196
rbsK,4189,8918,9426,4422,9394,4174
rbsR,2058,4242,4133,2166,4174,2218
rdgC_1,1546,1759,1852,1756,1847,1715
rdgC_2,1297,1158,1194,1367,1206,1377
rdgC_3,162,146,180,178,165,137
rebM,1999,466,467,2194,499,2165
recA,39961,43300,45161,42139,44891,42613
recB,17476,19175,20204,18929,19864,18843
recC,8379,10497,11068,8965,10482,8716
recD,8721,9295,9606,9190,9645,9196
recF,11573,11589,11854,12232,11910,12211
recG,18730,17145,17543,19884,17353,19541
recJ,11245,8579,8507,11379,8436,11520
recN,28504,21854,22439,30673,22059,30413
recO,3220,4120,4268,3613,4305,3471
recQ,9269,9158,9466,9884,9203,9594
recR,9582,8784,8895,10006,8993,9909
recX,5555,4740,4948,6169,4915,5827
relA,42642,39539,40894,44404,40207,44319
rep,11918,12988,13129,12652,13109,12166
rfaF,4151,4223,4346,4350,4321,4520
rfaQ,3533,4128,4423,3839,4278,3809
rffG,6439,6458,6690,6581,6621,6628
rhlB,14356,17214,17199,15269,17264,15301
rho,31802,26829,27799,33190,28027,33166
rhtC,6120,4662,4941,6350,4612,6077
ribA,2483,3162,3191,2562,3225,2595
ribB,17557,13494,13797,18430,13837,18670
ribD,12613,15082,15470,13312,15392,13183
ribE,10063,11589,12078,10534,11723,10581
ribF,18697,20015,20287,19423,20475,19607
ribH,9764,10843,11041,10154,11180,10262
rimM,159731,85543,87451,166144,86526,169979
rimN,2690,3400,3498,2842,3441,2894
rimO,1068,734,736,1116,714,1142
rimP,6840,5796,5846,7528,6079,7316
rlmB,11315,8421,8694,11856,8781,11794
rlmC,6007,6640,7117,6531,6878,6430
rlmD,9339,9671,9993,10129,9730,10075
rlmE,7811,22875,23696,8350,23591,8314
rlmH,11458,11541,11995,11926,12048,12108
rlmL,24834,26549,27699,27209,27119,26892
rlmM,2740,2467,2659,2835,2497,2677
rlmN,9265,7179,7697,9992,7555,9908
rluA_1,6532,6543,6588,6997,6474,7083
rluA_2,5013,12179,12707,5167,12634,5302
rluB,15603,14562,15440,16440,15155,15925
rluC,5849,7590,7657,6312,7905,6422
rluD,8015,10242,10591,8415,10475,8584
rluE,1261,1245,1290,1324,1275,1375
rmuC,5013,3976,4065,5290,4029,5281
rnb,18142,16828,17252,19032,17292,19149
rnc,8281,6993,7162,8685,7158,8654
rnd,3891,4201,4569,4100,4483,4094
rne,84420,82572,85021,89237,84859,88034
rnfA,3397,3384,3521,3545,3656,3551
rnfB,3166,3333,3527,3440,3482,3377
rnfC,10819,11555,11495,11335,11759,11673
rnfE,2647,2448,2492,2721,2602,2772
rng,14476,14278,14574,15343,14828,15315
rnhA,2430,2425,2624,2514,2459,2641
rnhB,3798,3878,3995,3999,3896,3931
rnpA,6824,10112,10524,7329,10494,7143
rnr,32355,29097,30072,34319,29402,33682
rnt,9521,10463,10622,10283,10694,9855
rodZ,11241,17353,18018,11918,18078,12118
rpe,9123,10351,10422,9616,10512,9697
rph,5338,5823,5838,5383,5811,5356
rpiA,5126,11853,12419,5248,12259,5182
rplA,111408,80890,85837,116047,84711,115739
rplB,309393,92457,96735,323593,95984,319700
rplC,210260,71546,74581,224151,72526,218658
rplD,196745,63582,68398,205841,67250,202407
rplE,210836,154995,160081,218866,157921,217491
rplF,221703,141849,148619,229765,148035,224605
rplI,86829,39234,40568,89223,41435,91174
rplJ,143018,91900,95552,144958,95098,149926
rplK,96431,73818,76844,101152,76773,102443
rplL,77155,49903,50513,80443,50068,83334
rplM,200438,114003,117862,209579,116945,213935
rplN,162980,125449,127463,168763,127420,171056
rplO,147310,80733,84419,156730,84156,150584
rplP,131934,35439,38209,140440,37034,137116
rplQ,105311,48390,51419,111469,49745,110426
rplR,92844,55825,60750,96133,59530,93824
rplS,48697,21722,22298,50499,22111,51385
rplT,134111,79476,84349,135708,84677,139076
rplU,40687,44612,46174,43559,45783,43959
rplV,113018,31743,33871,119953,32547,117830
rplW,76935,24117,26187,82281,25331,81246
rplX,115968,84118,89350,124803,87521,121377
rplY,27214,18511,19437,28954,19048,29263
rpmA,29983,30524,30895,31647,31062,31415
rpmB,34273,32839,33337,35933,33857,36774
rpmC,96649,27402,27600,99285,27427,101285
rpmD,57193,32982,34241,57326,34135,58607
rpmE,35142,28903,30184,36216,29961,37423
rpmF,24038,20434,21419,24528,21555,25164
rpmG,17710,17046,17418,19890,17326,19317
rpmH,3738,4245,4046,4154,4378,4145
rpmI,178035,107413,115914,190788,113620,190211
rpmJ,54088,27448,29917,55576,28967,57666
rpoA,466609,244372,254896,490563,250040,480962
rpoB,352056,282684,295926,372215,287647,365346
rpoC,384406,247189,257098,404225,250890,397121
rpoD,62293,68376,71064,66169,70487,67467
rpoE_1,6735,6703,7051,7455,6985,7180
rpoE_2,34104,32527,33918,36185,32807,36203
rpoH,62763,53233,53850,66484,55026,66714
rpoZ,15944,17345,17593,16903,17371,17204
rppH,9435,11595,11752,9636,11543,9945
rpsA,331266,251234,265860,348325,259295,346165
rpsB,158261,95437,98339,166241,98290,167472
rpsC,253518,69578,72551,269560,71424,258859
rpsD,286425,163124,176792,307773,168872,299101
rpsE,161382,95329,101195,170091,100806,164997
rpsF,128259,71234,72358,133835,73351,135586
rpsG,90698,71811,74899,93131,75238,93570
rpsH,111412,75164,79983,118141,78782,114649
rpsI,112070,61367,63083,117126,63847,116013
rpsJ,160311,57301,59095,172348,58363,171126
rpsK,173445,106872,112407,185606,110225,179143
rpsL,110508,94266,98922,118965,98191,117664
rpsM,206757,130110,135856,215411,133148,216986
rpsN,142036,99244,104186,151229,103034,147742
rpsO,88731,59627,60898,91858,61281,93681
rpsP,72468,39600,42984,76514,42484,75839
rpsQ,62960,16668,18496,67249,17771,65849
rpsR,45466,21378,22486,45619,21818,47639
rpsS,105594,30455,31854,111641,31275,111179
rpsT,22166,15556,15791,23125,15903,23421
rpsU,27104,27412,28102,29010,28488,29372
rraA,11536,10154,10495,12416,10582,11890
rraB,5970,6547,6540,6617,6539,6613
rseA,31566,30129,31957,33466,31680,33078
rseB,27091,21963,22509,29027,22584,28548
rseC,8228,4782,5025,8636,4983,8260
rseP,21862,23380,24370,22688,24114,23223
rsgA,10271,11219,11435,10880,11726,10756
rsmA,3831,4042,4264,4199,4221,4089
rsmB,25207,23925,24631,27118,24444,26617
rsmC,1935,2716,2977,2076,2801,2103
rsmD,3187,3372,3399,3325,3439,3440
rsmE,5229,5938,6087,5585,5870,5698
rsmG,3172,4056,4536,3391,4418,3287
rsmH,12063,12575,13296,12683,13061,12572
rsmI,6813,7667,7963,7404,7888,7449
rsmJ,19794,14000,14621,20622,14059,20567
rsuA,2928,4179,4223,3109,4265,3013
ruvA,7321,6990,6973,7978,6936,8047
ruvB,8220,6675,7076,8520,7120,8608
ruvC,6103,4540,4584,6451,4612,6358
sapB_1,6162,9633,9993,6391,9896,6541
sapB_2,2315,2466,2585,2448,2540,2384
sapC,6099,8186,8540,6301,8694,6374
sbcB,14135,13715,14310,15139,14139,15454
sdaA,38326,118266,120313,39645,119782,40303
sdaC,55163,144370,147650,58240,144363,58398
sdcS,14898,25674,27302,15875,27323,15108
secA,78252,130779,135022,83837,133213,82084
secB,26174,24499,26777,27735,26195,28473
secD,31712,50564,52277,33248,51236,33141
secE,19588,21309,22391,20547,22065,20574
secF,19741,23312,24359,20773,24236,20439
secG,8078,9885,10020,8489,10210,8574
secY,444082,240394,256087,466657,249862,443566
selA,6427,7737,8070,6686,8008,6557
selB,8288,11683,12098,8707,12036,8807
selD,10374,6920,7243,10626,7200,10775
seqA,8557,9238,9308,8971,9630,9302
serA,14675,30467,31647,15430,31513,15457
serB,8580,8731,8837,9277,8815,9024
serC,5440,6132,6378,5965,6312,6018
serS,37770,49335,50620,39315,50518,39997
sfsA,2913,2833,2910,3092,2951,2959
siaP,11773,58374,60856,12241,60648,12468
siaT_1,11243,53202,54763,11984,53939,11734
siaT_2,3554,4650,4822,3877,4802,3725
sixA,3627,5000,5146,3903,4940,3903
slmA,7154,8492,8879,7584,8671,7493
slp,6672,7093,7702,7014,7252,7030
slt,16313,16864,17631,17004,17064,17634
slyD,34188,31306,31721,35202,32043,35738
slyX,399,378,397,420,437,379
smf,102,158,134,100,129,97
smpA,17911,18338,18820,18536,19148,19100
smpB,3683,4469,4692,3967,4699,3950
sodA,53541,51918,52596,56314,52903,56528
sohB,30582,44666,46922,33573,46387,32138
sotB,3640,6151,6431,3873,6652,3929
spoT,73623,77388,80210,78196,79106,76694
sppA,25889,28803,29952,27137,29562,26999
spr_1,4136,3793,3821,4216,3926,4196
spr_2,2666,2281,2365,2839,2369,2816
srmB,21771,23132,24046,22950,23761,23116
ssb_1,20535,23202,23696,21244,23500,21736
ssb_2,154,171,155,176,158,164
sspA,10026,9120,9762,10861,9732,10801
sspB,5828,5569,6036,6414,5690,6299
ssrA,1829558,1679698,1681151,1907479,1712390,1890746
sstT,8917,8670,8893,9430,8824,9491
ssuB,1107,894,945,1072,916,1139
ssuC,704,683,733,697,687,683
stp,310,197,207,352,189,298
stpA,7172,6732,6961,7258,7088,7784
sucA,72086,103935,107606,76244,105381,75064
sucB,26216,39543,40409,27667,40656,27355
sucC,4550,4163,4123,4773,4034,4567
sucD,4797,4352,4401,5099,4309,4997
suhB,36899,37946,38364,38927,38450,38639
sunS,7728,9698,9868,8276,10026,8412
surA,54552,44330,45747,59205,45788,57130
surE,10720,12730,12822,10884,12963,11138
sxy,12026,19294,21321,13356,20792,12795
tadA,4719,4886,4865,5063,4919,5014
tag,1353,1350,1376,1460,1420,1521
tagE,3915,3174,3607,4651,3348,4188
talB,119028,140464,143430,125302,144482,126883
tatA,7879,9399,10408,8695,10077,8714
tatB,15639,20344,21372,16603,21489,16852
tatC,9094,12557,13205,9405,13277,9121
tbp1,3380,3107,3177,3572,3054,3532
tbpB,1314,1105,1100,1428,1051,1456
tcyB,1689,6688,7111,1688,6906,1711
tcyC,2300,8342,8869,2519,8958,2489
tcyP,5986,17915,18433,6291,18218,6225
tdk,5443,5937,6046,5697,6167,5673
tehA,5158,4881,5219,5551,5130,5525
tehB,12441,8671,9313,13330,9213,13320
tenA,1493,1832,1966,1620,1896,1626
tesB,4135,4717,4966,4337,4831,4568
tgt,12066,6960,7115,12635,7190,12570
thiB,12146,13916,14469,12636,14199,12743
thiD,5127,5430,5496,5475,5481,5054
thiE,4137,3969,4116,4277,3958,4232
thiF,4781,4553,4609,5092,4726,5056
thiI,11467,10546,11232,12358,10674,12272
thiL,11578,10937,11439,12288,10847,12295
thiM,5566,5874,6082,5969,5919,5704
thiQ,2689,2246,2395,2850,2141,2842
thlA,753,774,859,753,818,778
thrA,28508,42819,43710,31048,43402,30548
thrB,9813,14404,14828,10640,14799,10483
thrC,13178,18616,19312,14042,18978,13520
thrS,38111,36980,38058,40208,37614,40067
thyA,13217,13411,13352,12916,13017,13399
tig,118176,142554,149182,125656,148231,123295
tilS,10985,9320,9760,11704,9735,11587
tktA,91689,108078,111408,96022,111660,93874
tldD,13784,13232,13463,14770,13107,14304
tmcA,13296,10261,10819,14240,10601,14357
tmk,15424,9641,9910,16026,9896,15870
tnaA,2048,11688,12168,2081,11823,2111
tolA,12920,11007,11181,13917,10890,13312
tolB,54511,45811,47032,58510,46423,57503
tolQ,21378,20898,21625,22851,21582,22283
tolR,10155,9290,9600,10671,9311,10614
topA_1,53324,52052,53342,54991,52799,55487
topA_2,3128,3729,3872,3236,3724,3343
topB,11603,10268,10682,12155,10358,12062
tpiA,32602,39872,40359,34475,41992,34062
tpx,58775,63673,65212,62010,65325,63251
tqsA,13932,13232,13735,14781,13615,14461
trkA,23412,16110,16677,25271,16721,23973
trkG,8131,8664,8892,9143,9082,8397
trmA,31565,24075,25033,32877,24600,32609
trmB,4555,5474,5750,4874,5700,4831
trmD,189894,84143,86157,198177,86493,199505
trmL,3757,4672,4785,3981,4658,4018
trpA,1599,2032,2033,1672,1987,1689
trpB,2127,2594,2667,2058,2529,2115
trpC,1939,2395,2409,2037,2473,2017
trpD,1314,1576,1699,1361,1571,1364
trpE,2295,3009,3075,2577,3014,2492
trpG_1,734,836,981,681,974,774
trpG_2,2478,2347,2468,2599,2475,2529
trpR,2813,2523,2617,2921,2579,3047
trpS,16178,18778,19736,17036,19233,17391
truA,2905,2645,2735,3155,2765,3084
truB,17618,15621,16343,18754,16364,18932
truC,3156,2723,2787,3425,2794,3364
truD,5685,7542,7490,6155,7781,6082
trxA,11833,15211,16324,12805,16289,12655
trxB,18939,20750,21305,19657,21212,20087
tsaA,46926,54978,55586,48068,56669,49171
tsf,98846,61681,65371,104459,64323,103228
ttcA,6866,7289,7512,7353,7575,7518
ttgA,40590,49329,51720,42597,50929,42596
tufA_1,367188,231336,238235,383591,236500,380107
tufA_2,425285,373060,381559,443250,379915,444755
tusA,2476,2237,2488,2706,2490,2711
tusC,771,1078,1139,922,1105,898
tusD,1882,2218,2388,1831,2361,1920
tusE,2134,2146,2279,2306,2287,2395
typA,71758,65578,68530,75578,67875,74076
tyrA,6647,9869,9890,7185,9907,7104
tyrP_1,49326,43371,44383,52526,44574,50774
tyrP_2,9198,20519,20764,9979,21184,9681
tyrR,9810,8844,9013,10246,8865,10480
tyrS,26571,29754,30800,27974,30922,28177
udk,16589,23999,25024,17073,24434,17414
udp,56300,79172,81598,59647,81139,59030
umuD,2491,1638,1750,2635,1889,2709
ung,2545,3099,3190,2572,3131,2638
upp,7855,9537,9939,8249,10093,8059
uppS,5430,6270,6683,5825,6513,5964
ureA,609,736,652,636,719,562
ureB,997,1258,1253,980,1273,957
ureC,8641,9943,10093,9092,10098,8951
ureE,3203,3240,3309,3422,3304,3577
ureF,4033,3795,4092,4062,4052,4128
ureG,2613,2556,2719,2769,2643,2809
ureH,1704,1483,1573,1735,1545,1794
ureR,1459,1719,1861,1468,1758,1526
usg_1,7584,7814,7978,7972,7982,8200
usg_2,362,239,244,374,267,412
uspA,81893,124634,130650,85562,128666,87720
uspE,11197,11853,12247,12086,12171,11913
uvrA,33990,30593,31961,34617,30881,35086
uvrB,11143,12775,13217,11645,12918,11828
uvrC,8399,8169,8400,8625,8356,8774
uvrD,21360,21449,22246,22520,22134,22586
uxaC,5657,6836,7113,5894,7088,5866
uxuA,6553,7731,7979,7010,8087,7102
valS,61551,49972,51852,64110,51175,64301
vapB,3095,2195,2415,3209,2297,3318
vapB1,2682,2302,2401,2814,2359,2982
vapC,3757,3454,3717,4054,3565,4198
vapC1,4189,3323,3514,4691,3401,4646
vapD,7832,7083,6964,8379,6912,8370
waaA,7395,10862,10833,7844,11050,7834
wecA,7445,7031,7261,7850,7241,7763
xerC,5395,6242,6559,5742,6380,5749
xerD,6146,5491,5758,6225,5786,6340
xseA,11944,12810,13389,12813,13184,12397
xseB,3816,4827,5080,4117,5008,4007
xthA,18257,23571,25030,19108,24294,19324
xylA,635,612,583,705,651,678
xylB,2566,2572,2661,2758,2533,2721
yaaA,15560,21331,22339,16303,22155,16316
yabJ,2657,3408,3487,2834,3454,2889
yacG,1079,923,905,1195,956,1166
yadA,2258,1054,1100,2284,1050,2387
yaeT,111188,98213,102867,119089,101989,116843
yafQ_1,1619,1535,1607,1640,1540,1809
yafQ_2,4934,4417,4494,5160,4433,5393
yajC,7369,15325,16438,7962,15912,7789
ybaK,1096,978,971,1178,985,1157
ybaN,2721,2135,2723,3240,2663,2537
ybbH,4285,12382,12816,4443,12665,4371
ybeB,6105,7254,7430,6281,7311,6540
ybfF,1599,1956,2057,1684,2126,1715
ybgC,9105,9058,9460,9628,9276,9409
ybhI,25196,57816,59269,26014,58344,26128
ybiP_1,6174,7253,7490,6472,7598,6572
ybiP_2,6949,6584,7153,7817,7141,7183
yccA,33980,70041,72636,35603,72224,35450
yccM,56822,44326,46289,58466,45351,57821
yccS,10856,10778,11147,11422,10762,11110
ycdY,6527,7167,7562,7006,7309,6732
yceG,11927,9319,9653,12716,9738,12545
ycfH,12125,6395,6559,13280,6543,12822
ycgL,2207,1948,2075,2275,2049,2267
ychJ,1455,1479,1621,1522,1580,1449
yciB,8019,9168,9486,8544,9417,8475
yciH,3298,2860,2899,3728,2917,3607
yciO,8066,8558,8732,8364,8564,8475
yciS,2875,2879,3224,3372,3159,2995
ycjF,7942,21034,21494,8500,21185,8611
ycjX,7505,7485,7639,7985,7654,8024
ydcV,30901,25291,26284,32281,25998,31906
yddA,7920,10166,10699,8466,10264,8524
ydeM,111,108,97,150,98,121
ydfG,2037,2599,2720,2066,2533,2200
ydgA,23346,27948,29668,24947,29221,24734
ydjA,6354,7366,7559,6957,7687,6925
ydjH,2600,3305,3481,2787,3387,2647
yeaD,4557,4741,5051,4744,4998,4690
yebS,6604,9469,10014,6910,10043,6725
yecM,8960,7792,8428,9692,8390,9735
yeiH,4695,5853,6151,4832,5963,4875
yejK,13787,13951,14460,14160,14220,14785
yejM,19475,29319,30022,20635,29994,20220
yfbV,7620,6222,6331,7786,6183,8104
yfcA,6591,5987,6288,7055,6158,6862
yfgD,2293,2601,2676,2404,2760,2425
yfiC,1320,1489,1567,1541,1523,1454
yfiH,4866,5856,6192,5191,6079,5363
ygdD,3248,3924,4175,3528,3984,3573
ygdK,1314,1477,1634,1324,1590,1358
ygdQ,13330,14460,14968,14449,14846,14361
ygfY,2953,3010,3240,3144,3197,3112
ygfZ,9280,8929,9166,9939,9134,9892
yhbE,8313,5824,6254,8767,5883,8786
yhbJ,10142,11658,11833,10868,12028,10799
yhbU,8809,6504,6896,9297,6974,9383
yhbX,11753,12894,14108,13155,13783,12290
yhcB,2714,3458,3672,2818,3596,2892
yhgF,18186,21372,22237,19437,22077,19136
yhhQ,6738,5659,5752,7090,5804,7067
yhhT,2388,3064,3356,2605,3322,2508
yhjE_1,8033,6867,7011,8508,7020,8430
yhjE_2,4949,3201,3488,5109,3448,5125
yhjJ,917,964,1007,890,1021,989
yiaM,315,538,633,416,602,329
yibN,10337,10761,11070,11177,10887,11404
yicG,3219,4037,4246,3322,4136,3493
yidC,85535,99368,103142,90664,101594,91713
yidD,2374,3657,3731,2495,3642,2491
yigZ,4355,4968,5187,4701,5222,4723
yihD,23663,14662,15308,26318,14957,26339
yihI,4668,6780,7104,5141,6942,5084
yihY,3528,3601,3865,3834,3717,3623
yiiM,2448,2685,2572,2493,2679,2594
yiiS,6974,7595,8002,7451,7843,7377
yjcD,641,548,602,669,628,616
yjeA,4395,6336,6497,4547,6429,4631
yjgA,11661,14644,15183,12413,15015,12330
yjjB,996,1481,1475,1046,1552,1064
yjjP,1803,2711,2725,1920,2703,1818
yjjV_1,6913,8329,8662,7222,8606,7310
yjjV_2,9658,9723,9878,10168,10047,10289
ykfG,206,198,192,246,194,246
ykgB,17708,15800,16652,18830,16680,18769
ylxH,22153,18514,19045,23460,18434,23500
yohJ,2963,2401,2589,3388,2574,3061
yohK,2910,3438,3529,3185,3529,3139
ypdC,2464,2411,2564,2594,2701,2549
yqaA,4131,4230,4427,4215,4446,4196
yqaB,8059,7371,7327,8308,7338,8391
yqcC,1543,1352,1406,1607,1384,1548
yqgF,2645,2553,2721,2773,2699,2751
yqjI,44932,42986,43851,46572,42679,46528
ytfE,3081,2738,2962,3133,2906,3306
ytfJ,2436,2613,2690,2629,2654,2659
ytfL,20540,16785,17570,22382,17130,21247
ytpA,2790,3029,3278,2986,3268,3011
zapA,4585,4671,4888,4957,4828,5036
zapB,14932,14378,14890,15742,15081,15966
zipA,11271,12855,13045,11849,13190,12064
znuA,64636,46523,48151,67552,48158,67967
znuB,5888,5804,6069,6126,6055,6127
znuC,4296,5577,5559,4388,5562,4582
zwf,47223,50998,52820,49360,52202,48919