geneID,PAK_AR2A.Expression,s1_9A.Expression
PA2567,6792,7541
PA0344,490,544
PA3439,446,495
PA4386,2741,3041
PA1407,128,142
PA2648,1407,1560
PA4373,552,612
PA4483,4416,4896
PA2582,1863,2065
PA1528,3257,3609
PA3271,2848,3155
PA2264,326,361
PA2791,28,31
PA2665,478,529
PA3694,122,135
PA4415,2077,2298
PA0494,358,396
PA1600,104,115
PA2248,2013,2225
PA3423,314,347
PA1406,457,505
PA4367,3083,3406
PA2181,29,32
PA1261,58,64
PA3197,427,471
PA2773,88,97
PA1156,4786,5274
PA2157,59,65
PA2704,148,163
PA4251,9845,10840
PA4426,1497,1648
PA3695,1039,1143
PA4843,30505,33552
PA4491,1714,1885
PA0863,291,320
PA5485,638,701
PA1686,726,797
PA1510,442,485
PA3584,15364,16858
PA1224,62,68
PA1482,418,458
PA4197,450,493
PA2349,21,23
PA4218,21,23
PA1163,368,403
PA4343,180,197
PA1254,43,47
PA5230,5603,6121
PA2540,564,616
PA0103,219,239
PA1354,33,36
PA1184,253,276
PA1952,22,24
PA3398,319,348
PA2605,143,156
PA3358,66,72
PA3859,728,794
PA0335,711,775
PA4977,200,218
PA0181,278,303
PA4840,178,194
PA3419,413,450
PA1169,190,207
PA4002,1448,1577
PA2234,652,710
PA1086,699,761
PA0567,158,172
PA4020,1786,1944
PA2152,171,186
PA1995,137,149
PA3047,1875,2039
PA5548,563,612
PA0118,92,100
PA4912,69,75
PA5218,495,538
PA1448,150,163
PA0276,150,163
PA2523,104,113
PA0270,93,101
PA1669,396,430
PA4418,7037,7640
PA0861,2650,2877
PA4978,132,143
PA2169,12,13
PA2784,60,65
PA0697,12,13
PA2519,72,78
PA2560,506,548
PA5343,350,379
PA5359,1093,1183
PA4382,207,224
PA1485,122,132
PA1291,98,106
PA2716,98,106
PA3706,380,411
PA0693,86,93
PA0034,222,240
PA4661,2783,3008
PA1537,99,107
PA5264,819,885
PA5551,324,350
PA0218,388,419
PA4340,653,705
PA0194,88,95
PA3009,3993,4310
PA2008,2491,2688
PA0941,38,41
PA0571,228,246
PA2296,51,55
PA1311,64,69
PA0829,64,69
PA3767,206,222
PA4659,207,223
PA1589,3277,3529
PA3122,302,325
PA1046,659,709
PA5253,17879,19232
PA1115,2294,2467
PA4911,80,86
PA1186,40,43
PA2883,347,373
PA2338,27,29
PA2447,95,102
PA1417,177,190
PA3572,1240,1330
PA0030,111,119
PA3063,140,150
PA1512,28,30
PA4313a,155,166
PA5517,368,394
PA0842,85,91
PA2201,71,76
PA2512,57,61
PA5553,927,992
PA4347,1244,1331
PA3498,229,245
PA5285,559,598
PA4078,359,384
PA4621,1572,1681
PA2318,188,201
PA2909,58,62
PA2613,1475,1576
PA3213,935,999
PA4654,500,534
PA0241,104,111
PA0262,119,127
PA0690,2534,2704
PA3893,240,256
PA3052,1372,1463
PA1287,483,515
PA5468,438,467
PA1303,91,97
PA3055,368,392
PA4349,278,296
PA5552,1685,1794
PA2615,6704,7137
PA0224,155,165
PA3343,482,513
PA2953,3953,4207
PA3985,188,200
PA4674,47,50
PA5325,141,150
PA4417,3678,3911
PA2746a,379,403
PA4976,337,358
PA0761,3211,3411
PA2631,698,741
PA4653,163,173
PA3103,946,1004
PA5018,1637,1737
PA0594,3455,3666
PA0962,22445,23811
PA2366,265,281
PA5116,50,53
PA0268,167,177
PA1645,185,196
PA3075,643,681
PA2298,220,233
PA4217,153,162
PA1253,69,73
PA1351,52,55
PA1634,124,131
PA1496,213,225
PA0486,533,563
PA2482,929,981
PA1454,2914,3077
PA2377,90,95
PA3327,435,459
PA0441,834,880
PA0849,273,288
PA3023,186,196
PA2844,149,157
PA2206,150,158
PA1809,686,722
PA1654,1513,1592
PA4882,96,101
PA3281,39,41
PA3999,4564,4798
PA5001,727,764
PA2608,315,331
PA3249,99,104
PA0415,363,381
PA5506,1231,1292
PA4039,264,277
PA1281,61,64
PA5041,1122,1177
PA0785,41,43
PA4554,1541,1616
PA1232,104,109
PA1357,210,220
PA2544,909,952
PA0199,533,558
PA5226,1540,1612
PA1886,669,700
PA5002,1220,1276
PA4660,704,736
PA1175,133,139
PA3311,494,516
PA4618,475,496
PA0468,477,498
PA1439,297,310
PA3595,255,266
PA3838,304,317
PA0334,516,538
PA4931,1604,1672
PA0847,543,566
PA4986,1138,1186
PA0041a,285,297
PA1027,167,174
PA4115,2291,2387
PA3922,716,746
PA2862,266,277
PA1918,97,101
PA0784,194,202
PA2856,413,430
PA0364,219,228
PA2306,171,178
PA2827,2179,2268
PA1928,49,51
PA4196,172,179
PA3115,9721,10116
PA2388,723,752
PA1214,25,26
PA0493,76,79
PA1446,355,369
PA5077,3074,3195
PA1076,6768,7034
PA4720,662,688
PA0495,408,424
PA2345,179,186
PA0301,1413,1468
PA1506,52,54
PA1125,313,325
PA4375,940,976
PA5011,969,1006
PA1052,393,408
PA5473,3124,3243
PA2710,237,246
PA0873,581,603
PA0701,53,55
PA4040,161,167
PA5222,671,696
PA5520,458,475
PA3340,487,505
PA1802,16637,17251
PA4102,190,197
PA3364,190,197
PA3068,5954,6173
PA4036,845,876
PA3304,191,198
PA5085,857,888
PA2843,693,718
PA0735,167,173
PA4486,534,553
PA0835,11243,11642
PA2884,1105,1144
PA2602,85,88
PA0105,514,532
PA2016,2339,2420
PA1914,1214,1256
PA0965,551,570
PA1211,58,60
PA2587,116,120
PA5294,378,391
PA5000,1576,1630
PA3127,294,304
PA4470,415,429
PA1061,392,405
PA5021,941,972
PA4721,244,252
PA5235,1027,1060
PA3165,376,388
PA2047,221,228
PA4637a,856,883
PA3748,847,873
PA3350,932,960
PA0754,500,515
PA1689,435,448
PA0215,101,104
PA0682,34,35
PA1518,273,281
PA3110,587,604
PA2824,2954,3039
PA3547,35,36
PA4870,35,36
PA4636a,35,36
PA3437,843,867
PA3227,1449,1490
PA2104,389,400
PA3988,1814,1865
PA2026,251,258
PA1274,109,112
PA4868,947,973
PA4068,1170,1202
PA4764,843,865
PA5367,507,520
PA3359,121,124
PA1546,10199,10451
PA1536,123,126
PA1145,127,130
PA4529,1525,1561
PA3641,809,828
PA1457,2997,3066
PA3927,178,182
PA2260,45,46
PA3555,46,47
PA1594,92,94
PA1953,47,48
PA3597,193,197
PA3307,928,947
PA3522,344,351
PA3316,99,101
PA5022,1899,1937
PA1307,859,876
PA1883,51,52
PA3496,210,214
PA4155,53,54
PA1505,2549,2597
PA4250,534,544
PA0769,338,344
PA2105,228,232
PA0732,743,756
PA2252,58,59
PA2041,117,119
PA2247,3976,4043
PA4906,627,637
PA4639,3647,3705
PA1841,197,200
PA2167,66,67
PA0764,2478,2514
PA4943,5608,5688
PA1288,4218,4278
PA2877,227,230
PA1358,228,231
PA3943,638,646
PA1424a,82,83
PA0490,170,172
PA4671,2042,2066
PA1703,258,261
PA2708,174,176
PA4281,870,880
PA5009,620,627
PA1966,89,90
PA1273,269,272
PA3865,903,913
PA4393,1094,1106
PA0015,274,277
PA0054,191,193
PA2383,198,200
PA0198,303,306
PA3762,407,411
PA1248,102,103
PA1079,1072,1082
PA4637,328,331
PA0332,259,261
PA1888,130,131
PA5288,4752,4787
PA1226,137,138
PA4783,142,143
PA4523,4661,4693
PA4878,596,600
PA1628,163,164
PA5447,1000,1006
PA4221,339,341
PA1001,172,173
PA0583,179,180
PA1644,199,200
PA1453,1647,1655
PA3031,8386,8426
PA3564,224,225
PA1341,243,244
PA2572,766,768
PA3795,1215,1218
PA4765,3588,3595
PA3731,1105,1107
PA4944,2420,2424
PA4421,2962,2966
PA3295,1063,1064
PA3563,1283,1283
PA1379,80,80
PA2205,37,37
PA2193,4,4
PA4004,400,400
PA3714,91,91
PA1983,13,13
PA4341,55,55
PA3291,1,1
PA1738,293,293
PA0952,433,433
PA4103,21,21
PA2034,27,27
PA3253,115,115
PA2404,37,37
PA1599,80,80
PA4177,32,32
PA1356,33,33
PA2490,32,32
PA2133,16,16
PA1265,26,26
PA1724,15,15
PA2515,21,21
PA1022,64,64
PA1143,19,19
PA4230,6,6
PA3592,27,27
PA0324,163,163
PA2208,3,3
PA5031,73,73
PA1917,4,4
PA1632,2,2
PA3763,6214,6206
PA1915,1055,1053
PA2899,337,336
PA0337,11375,11334
PA3433,261,260
PA1206,233,232
PA5364,3601,3585
PA5342,223,222
PA5315,185,184
PA2267,177,176
PA0584,673,669
PA3204,989,983
PA1993,163,162
PA4019,471,468
PA2821,773,768
PA1533,716,711
PA2871,143,142
PA4361,426,423
PA2317,280,278
PA1539,267,265
PA3215,759,753
PA0371,1673,1659
PA1637,109,108
PA1613,974,965
PA4005,638,632
PA5393,105,104
PA3492,105,104
PA0860,628,622
PA3735,1881,1863
PA0795,1558,1543
PA3240,513,508
PA2070,102,101
PA0360,4959,4910
PA4968,576,570
PA1947,2471,2445
PA0848,95,94
PA0867,2059,2037
PA4950,1258,1244
PA4464,5261,5202
PA3734,519,513
PA3944,342,338
PA0061,252,249
PA4705,334,330
PA4123,410,405
PA4711,841,830
PA2609,764,754
PA2854,3298,3253
PA4466,656,647
PA1400,144,142
PA2058,70,69
PA1030,599,590
PA5434,399,393
PA1829,1261,1242
PA5319,570,561
PA4623,62,61
PA0222,60,59
PA3121,1138,1119
PA2937,471,463
PA3856,288,283
PA2760,6064,5958
PA1173,286,281
PA4777,228,224
PA3339,338,332
PA1174,2082,2045
PA0269,112,110
PA0483,110,108
PA1441,1815,1782
PA3768,1567,1538
PA4517,323,317
PA3997,1449,1422
PA1784,53,52
PA1619,157,154
PA0294,207,203
PA1758,511,501
PA5527,638,625
PA2703,49,48
PA3712,1500,1469
PA1444,290,284
PA2398,288,282
PA5275,232,227
PA2055,46,45
PA3107,1284,1256
PA1055,229,224
PA5121,1005,983
PA3424,225,220
PA4091,177,173
PA2373,88,86
PA1781,127,124
PA0147,253,247
PA2749,166,162
PA1390,124,121
PA5102,123,120
PA2333,82,80
PA4829,369,360
PA5236,689,672
PA0387,1376,1342
PA0865,8556,8344
PA0417,119,116
PA1056,751,732
PA3703,510,497
PA5311,196,191
PA3788,231,225
PA4300,76,74
PA3084,873,850
PA4003,1977,1924
PA3877,17119,16658
PA5280,664,646
PA5474,4823,4692
PA5323,1358,1321
PA1847,4023,3912
PA1242,144,140
PA2118a,36,35
PA1039,318,309
PA0487,423,411
PA1572,595,578
PA1527,3827,3717
PA2705,621,603
PA2273,69,67
PA0403,756,734
PA3756,1301,1263
PA2122,101,98
PA3017,632,613
PA1360,230,223
PA3440a,950,921
PA1204,260,252
PA4008,355,344
PA3612,129,125
PA4391,380,368
PA0802,63,61
PA2868,249,241
PA2432,186,180
PA5307,2969,2873
PA0230,494,478
PA3125,215,208
PA4345,538,520
PA0402,2983,2883
PA4288,178,172
PA4501,913,882
PA3832,204,197
PA0233,812,784
PA2309,29,28
PA1290,87,84
PA5055,635,613
PA4733,1114,1075
PA2550,1369,1321
PA5340,732,706
PA5460,56,54
PA1250,28,27
PA0935,418,403
PA2796,1249,1204
PA4012,470,453
PA4613,270,260
PA4494,6329,6094
PA4403,13253,12757
PA2464,345,332
PA2005,291,280
PA1229,105,101
PA4358,2539,2442
PA2677,261,251
PA2232,1856,1784
PA1755,206,198
PA2825,180,173
PA2165,77,74
PA4096,51,49
PA2535,280,269
PA4225,276,265
PA3234,1926,1848
PA3403,98,94
PA0753,49,47
PA2010,488,468
PA5181,340,326
PA1038,72,69
PA1955,24,23
PA5179,359,344
PA0070,6236,5975
PA4366,14298,13697
PA5029,190,182
PA5569,5017,4805
PA3141,4392,4205
PA0575,1335,1278
PA4787,982,940
PA4162,70,67
PA3025,116,111
PA4493,2915,2789
PA1074,21475,20536
PA3309,49806,47623
PA1519,91,87
PA5166,1342,1283
PA1906,68,65
PA3054,876,837
PA2546,112,107
PA1109,178,170
PA0112,111,106
PA0416,310,296
PA3375,22,21
PA2917,197,188
PA5074,499,476
PA1811,1538,1467
PA0556,85,81
PA1245,295,281
PA1963,442,421
PA4229,21,20
PA1734,146,139
PA0021,83,79
PA0031,394,375
PA1339,373,355
PA5044,3408,3242
PA2996,513,488
PA2807,41,39
PA1378,41,39
PA0528,164,156
PA5019,632,601
PA1660,222,211
PA4945,12863,12224
PA2612,2185,2076
PA2261,59,56
PA4768,1137,1079
PA3006,5435,5156
PA1741,252,239
PA2908,174,165
PA4315,14639,13881
PA3421,77,73
PA2977,288,273
PA5261,3692,3498
PA3357,339,321
PA4901,94,89
PA4143,131,124
PA2990,779,737
PA4512,1631,1543
PA1833,2239,2117
PA4167,55,52
PA0048,73,69
PA2639,2498,2361
PA0599,638,603
PA4553,342,323
PA0014,54,51
PA2091,18,17
PA2176,108,102
PA1225,89,84
PA2595,71,67
PA0184,53,50
PA1803,7374,6956
PA5215,1596,1505
PA4695,645,608
PA0839,291,274
PA1066,68,64
PA2737,2253,2120
PA0879,67,63
PA0288,67,63
PA2650,50,47
PA5549,764,718
PA1375,332,312
PA4472,993,933
PA4022,2546,2391
PA5097,197,185
PA2363,82,77
PA5142,602,565
PA2634,5440,5105
PA1736,210,197
PA4467,289,271
PA1624,834,782
PA0273,64,60
PA2030,32,30
PA0167,988,926
PA5079,191,179
PA4238,12290,11515
PA1304,839,786
PA3163,459,430
PA1866,393,368
PA5067,1867,1748
PA0227,94,88
PA4625,1048,981
PA2623,24270,22715
PA5252a,961,899
PA0174,62,58
PA1785,31,29
PA3920,524,490
PA0018,554,518
PA4406,4926,4605
PA2413,46,43
PA0934,2283,2133
PA0067,4556,4256
PA5339,2465,2302
PA5013,5596,5225
PA2815,1432,1337
PA3208,283,264
PA4180,1617,1508
PA4699,1181,1101
PA0481,88,82
PA2846,249,232
PA4511,947,882
PA1500,87,81
PA3061,58,54
PA2547,261,243
PA2097,29,27
PA3886a,87,81
PA4270,10006,9315
PA2588,130,121
PA4555,216,201
PA3862,330,307
PA1792,545,507
PA0437,430,400
PA3466,1189,1106
PA0696,128,119
PA2397,142,132
PA3202,440,409
PA2379,127,118
PA0919,800,743
PA1069,856,795
PA0461,1794,1666
PA3844,1106,1027
PA2036,14,13
PA0997,28,26
PA1612,182,169
PA2484,714,663
PA1189,97,90
PA0059,386,358
PA0019,2205,2045
PA0971,1191,1104
PA2243,82,76
PA3683,518,480
PA2772,54,50
PA2308,27,25
PA2431,202,187
PA3696,269,249
PA4362,269,249
PA2616,3032,2806
PA4427,334,309
PA5045,4341,4012
PA5211,145,134
PA4389,2424,2240
PA1043,210,194
PA3970,2579,2382
PA0143,301,278
PA1970,26,24
PA1398,195,180
PA0550,78,72
PA4538,1754,1619
PA4946,1841,1699
PA4145,375,346
PA5317,2168,2000
PA2858,1038,957
PA1984,1086,1001
PA5135,470,433
PA4026,749,690
PA1742,1048,965
PA0394,2285,2104
PA3080,530,488
PA4420,5274,4853
PA3212,474,436
PA2905,87,80
PA4419,595,547
PA5047,1376,1264
PA4970,466,428
PA0576,10688,9816
PA4108a,98,90
PA3493,98,90
PA1946,7789,7152
PA3605,366,336
PA4930,426,391
PA1171,510,468
PA2633,762,699
PA2507,24,22
PA2297,12,11
PA0726,156,143
PA1739,48,44
PA4791,342,313
PA5162,1485,1359
PA3484,495,453
PA3983,2251,2060
PA4735,6620,6058
PA4127,47,43
PA0869,1715,1569
PA4844,643,588
PA0290,643,588
PA4903,35,32
PA5441,2119,1936
PA1817,300,274
PA4351,1509,1378
PA2568,357,326
PA2189,46,42
PA1722,23,21
PA1684,654,597
PA4867,103,94
PA1373,159,145
PA3726,147,134
PA1643a,237,216
PA1289,45,41
PA3994,90,82
PA1814,670,610
PA4228,111,101
PA3013,2280,2073
PA1870,11,10
PA1257,33,30
PA4508,77,70
PA1497,44,40
PA2195,99,90
PA4830,55,50
PA2754,2447,2223
PA0275,360,327
PA3684,1196,1086
PA1138,141,128
PA4346,130,118
PA3137,238,216
PA4576,3988,3619
PA5056,864,784
PA5566,43,39
PA2147,86,78
PA0234,129,117
PA3589,43,39
PA1945,300,272
PA4468,182,165
PA1062,214,194
PA1555.1,128,116
PA2424,277,251
PA0851,265,240
PA4187,127,115
PA4242,158,143
PA2400,495,448
PA5273,484,438
PA1607,284,257
PA1694,21,19
PA0673,105,95
PA0367,556,503
PA5114,3448,3119
PA1124,982,888
PA0596,2214,2002
PA1584,2619,2368
PA2591,73,66
PA4301,73,66
PA0464,417,377
PA1222,363,328
PA5187,362,327
PA5032,93,84
PA1875,124,112
PA2702,465,420
PA1014,206,186
PA4899,164,148
PA3543,82,74
PA1602,51,46
PA1247,122,110
PA3851,366,330
PA4919,2007,1809
PA1668,101,91
PA1005,1887,1700
PA4324,4680,4215
PA4000,1683,1515
PA0297,2641,2377
PA3216,50,45
PA1503,60,54
PA0778,229,206
PA4626,149,134
PA1871,119,107
PA3761,426,383
PA4734,822,739
PA0845,297,267
PA4086,89,80
PA4967,1620,1456
PA2355,69,62
PA5345,2158,1939
PA2491,1158,1040
PA5042,1126,1011
PA4681,88,79
PA1085,1432,1285
PA2043,107,96
PA1813,709,636
PA2350,29,26
PA1054,2229,1998
PA4929,588,527
PA2670,77,69
PA2957,500,448
PA1721,48,43
PA2790,768,688
PA5060,5970,5348
PA5454,1275,1142
PA2963,786,704
PA0037,191,171
PA0178,1487,1331
PA2632,562,503
PA4615,761,681
PA3287,76,68
PA4081,114,102
PA1309,313,280
PA4369,557,498
PA5349,755,675
PA2080,160,143
PA0841,337,301
PA5556,7633,6816
PA5132,84,75
PA2270,177,158
PA2541,475,424
PA3092,419,374
PA0219,93,83
PA5219,158,141
PA1344,324,289
PA5382,185,165
PA1334,37,33
PA3081,379,338
PA1655,1375,1226
PA3830,286,255
PA1524,258,230
PA1460,801,714
PA2352,46,41
PA5512,653,582
PA3479,101,90
PA3435,861,767
PA0312,366,326
PA1104,667,594
PA1176,274,244
PA2778,155,138
PA3051,709,631
PA1243,227,202
PA3532,599,533
PA1082,2548,2267
PA3378,81,72
PA2898,72,64
PA3089a,126,112
PA3629,1014,901
PA0333,412,366
PA5020,1584,1407
PA3230,286,254
PA3306,1295,1150
PA2566,107,95
PA3892,98,87
PA0601,444,394
PA2033,62,55
PA2618,1102,977
PA5254,476,422
PA2407,44,39
PA0418,466,413
PA2863,70,62
PA1732,105,93
PA5165,2440,2160
PA0152,209,185
PA1023,87,77
PA3645,1052,931
PA0400,730,646
PA3813,1251,1107
PA2971,1927,1705
PA3623,6006,5314
PA3261,1084,959
PA0278,52,46
PA1617,519,459
PA0586,5056,4471
PA2166,69,61
PA4833,464,410
PA4622,103,91
PA4395,2609,2305
PA5513,607,536
PA5052,1516,1338
PA1185,51,45
PA0660,646,570
PA4688,832,734
PA0123,212,187
PA2958,473,417
PA4331,549,484
PA2717,152,134
PA3407,76,67
PA1049,842,742
PA3226,587,517
PA3135,427,376
PA1286,25,22
PA0998,75,66
PA1327,249,219
PA0886,166,146
PA4094,332,292
PA0249,83,73
PA0853,165,145
PA3175,140,123
PA1348,214,188
PA1653,321,282
PA0095,2360,2073
PA4813,74,65
PA3400,246,216
PA2880,82,72
PA0042,213,187
PA1437,180,158
PA1818,1227,1077
PA1447,49,43
PA4530,302,265
PA5096,163,143
PA1131,57,50
PA1433,350,307
PA5234,805,706
PA0972,2991,2623
PA4782,73,64
PA4614,1095,960
PA2771,243,213
PA1860,194,170
PA1815,258,226
PA2103,602,527
PA2834,329,288
PA0470,1027,899
PA2327,56,49
PA2142a,16,14
PA1352,16,14
PA1495,32,28
PA3551,184,161
PA2402,743,650
PA1562,5722,5004
PA3693,199,174
PA0859,175,153
PA0346,175,153
PA5287,825,721
PA4869,222,194
PA2939,103,90
PA4459,1203,1051
PA3974,1689,1475
PA5295,1126,983
PA2895,354,309
PA4434,1140,995
PA4891,157,137
PA0404,510,445
PA4757,839,732
PA3581,2816,2456
PA1136,125,109
PA2527,889,775
PA4181,241,210
PA1824,318,277
PA1382,473,412
PA1845,31,27
PA4399,124,108
PA0854,1160,1010
PA1491,402,350
PA0928,1801,1568
PA1081,935,814
PA2543,539,469
PA1217,177,154
PA3691,5516,4799
PA1302,123,107
PA2254,46,40
PA0296,2019,1755
PA5028,1376,1195
PA1508,38,33
PA0211,38,33
PA3138,1504,1306
PA4717,1146,995
PA4184,341,296
PA4088,53,46
PA3252,113,98
PA0351,954,827
PA2724,45,39
PA0553,165,143
PA2196,120,104
PA0465,262,227
PA5271,1280,1109
PA1887,142,123
PA3786,2475,2143
PA2617,320,277
PA0137,119,103
PA1057,445,385
PA0004,10675,9234
PA0782,3479,3009
PA0757,259,224
PA0353,3320,2871
PA2242,288,249
PA4543,272,235
PA2406,22,19
PA3113,1060,915
PA5026,168,145
PA5466,175,151
PA1033,641,553
PA3285,880,759
PA3483,428,369
PA4861,58,50
PA4937,12624,10882
PA3886,442,381
PA0022,362,312
PA2197,152,131
PA4509,101,87
PA4150,137,118
PA0482,5393,4643
PA3546,43,37
PA5546,1632,1404
PA3953,93,80
PA0771,699,601
PA0876,556,478
PA2696,114,98
PA0894,57,49
PA1779,235,202
PA5160,369,317
PA3114,489,420
PA1473,496,426
PA1048,2572,2209
PA0119,679,583
PA0458,855,734
PA4497,883,758
PA2679,592,508
PA4319,406,348
PA1869,14,12
PA2405,14,12
PA3284,14,12
PA2113,14,12
PA2489,168,144
PA5043,1748,1498
PA4747,1726,1479
PA3787,1284,1100
PA5199,1046,896
PA4552,752,644
PA0126,792,678
PA3279,125,107
PA0388,1027,879
PA5168,201,172
PA2700,90,77
PA2011,616,527
PA1520,1045,894
PA0240,159,136
PA0173,117,100
PA5502,585,500
PA3949,707,604
PA5035,494,422
PA3318,48,41
PA1080,5323,4546
PA0449,9175,7835
PA4579,1204,1028
PA1749,430,367
PA3690,969,827
PA2511,177,151
PA3514,279,238
PA4526,3640,3105
PA4384,102,87
PA2853,42396,36140
PA0006,486,414
PA2078,54,46
PA5125,1674,1426
PA5383,81,69
PA0340,576,490
PA3478,328,279
PA5213,716,609
PA0485,254,216
PA3730,294,250
PA3513,80,68
PA4979,100,85
PA1318,279,237
PA0160,146,124
PA4001,2327,1976
PA2837,53,45
PA0345,695,590
PA3847,205,174
PA2962,271,230
PA0838,862,730
PA1469,111,94
PA4234,2366,2003
PA1121,234,198
PA0724,65,55
PA4097,26,22
PA0044,999,845
PA2446,700,592
PA3184,427,361
PA4897,556,470
PA4293,200,169
PA0940,58,49
PA4646,206,174
PA1084,830,701
PA3464,224,189
PA1711,64,54
PA5455,1621,1367
PA2069,51,43
PA1395,70,59
PA0731,439,370
PA1489,89,75
PA0507,976,822
PA3298,19,16
PA4724.1,76,64
PA0710,38,32
PA3239,405,341
PA4330,529,445
PA1752,541,455
PA3462,457,384
PA3044,150,126
PA3247,1902,1597
PA0368,661,555
PA3166,1837,1542
PA2518,56,47
PA1735,56,47
PA0298,1739,1459
PA2009,5073,4255
PA3348,3044,2553
PA3455,1208,1013
PA3220,446,374
PA1764,167,140
PA3961,847,710
PA1988,68,57
PA0007,592,496
PA5191,579,485
PA3739,628,526
PA1306,1224,1024
PA5207,868,726
PA2468,165,138
PA1146,165,138
PA1461,615,514
PA3471,2319,1938
PA5529,1965,1642
PA0891,517,432
PA3225,758,633
PA4137,103,86
PA5369,925,772
PA4402,943,787
PA5203,1707,1423
PA3172,1009,841
PA4441,4491,3743
PA2141,6,5
PA1083,1056,880
PA2284,138,115
PA2257,6,5
PA5247,641,534
PA3921,1144,953
PA2991,2264,1886
PA0663,389,324
PA2492,1280,1066
PA5270,1818,1514
PA2789,185,154
PA1795,4199,3494
PA1880,268,223
PA0457.1,256,213
PA5154,196,163
PA1443,1377,1145
PA2920,919,764
PA4114,622,517
PA3116,373,310
PA0532,136,113
PA0248,177,147
PA3628,342,284
PA3290,613,509
PA3416,218,181
PA1923,106,88
PA1028,147,122
PA3995,176,146
PA3402,293,243
PA1252,257,213
PA0343,613,508
PA0158,1295,1073
PA0133,513,425
PA0292,1420,1176
PA5210,3678,3046
PA0238,64,53
PA5237,2241,1855
PA4697,1114,922
PA0946,1143,946
PA5366,713,590
PA5515,718,594
PA5099,243,201
PA0542,1654,1368
PA0472,237,196
PA3778,312,258
PA0045,514,425
PA5090,294,243
PA0406,604,499
PA4099,69,57
PA3954,109,90
PA5350,103,85
PA5242,14789,12202
PA2965,1503,1240
PA1540,40,33
PA4690,520,429
PA5017,6586,5433
PA4564,354,292
PA2272,354,292
PA4788,97,80
PA3469,262,216
PA3596,74,61
PA0536,1375,1133
PA4478,369,304
PA4732,3378,2782
PA2291,68,56
PA1212,34,28
PA5240,3982,3279
PA0750,650,535
PA0745,824,678
PA0182,124,102
PA3634,293,241
PA2929,45,37
PA4767,855,703
PA2316,123,101
PA4477,1379,1132
PA3301,842,691
PA5338,5661,4645
PA3315,78,64
PA0469,557,457
PA0557,89,73
PA2638,1533,1257
PA3741,111,91
PA4971,932,764
PA0323,183,150
PA1763,144,118
PA2829,72,59
PA0902,443,363
PA1102,1805,1479
PA0742,177,145
PA4208,94,77
PA2750,94,77
PA5555,2196,1798
PA2671,88,72
PA4302,66,54
PA0711,33,27
PA2522,22,18
PA5544,275,225
PA4334,351,287
PA1423,1002,819
PA2545,514,420
PA3036,71,58
PA3785,251,205
PA4145a,60,49
PA3575,676,552
PA1828,1537,1255
PA3864,256,209
PA1297,397,324
PA0116,212,173
PA3335,125,102
PA0032,288,235
PA1534,478,390
PA5189,244,199
PA0032a,309,252
PA2025,5187,4229
PA3688,162,132
PA2924,27,22
PA5329,788,642
PA1615,259,211
PA1032,1264,1029
PA0970,1097,893
PA1075,172,140
PA4549,145,118
