,Raw Counts Control 1,Raw Counts Control 2,Raw Counts Control 3,Raw Counts Gal grown 1,Raw Counts Gal grown 2,Raw Counts Gal grown 3
PG1687,2025,2915,2272,3171,2465,2463
PG1688,2075,3325,2860,4264,3884,2782
PG1690,351,552,421,656,571,644
PG1691,150,191,179,203,182,271
PG1692,316,510,497,755,739,599
PG1693,531,994,850,1320,1296,1070
PG1694,648,1133,951,1343,1383,1257
PG1695,58,158,160,213,209,86
PG1696,2328,3637,3372,4128,3644,3245
PG1697,3648,5691,5079,6581,6082,5382
PG1701,2145,2790,2032,3861,3181,4535
PG1702,17317,23406,17358,29132,24366,28349
PG1703,7274,11560,8854,17236,17652,12652
PG1704,11106,11933,9289,13482,10955,19569
PG1706,1424,1759,1343,2371,1887,2862
PG1707,2164,3448,3027,4552,3800,3959
PG1709,78,139,131,161,151,123
PG1710,509,791,702,963,776,857
PG1711,1297,1922,1396,2413,2053,2405
PG1712,2391,4425,3959,5579,5695,3715
PG1713,472,640,473,936,830,944
PG1714,985,1298,1148,1815,1535,1650
PG1715,14030,23280,19629,29984,26191,26110
PG1718,13,22,25,27,36,25
PG1719,1284,1911,1441,2591,2329,2331
PG1720,1572,2226,1716,2704,2437,2722
PG1721,1682,2073,1757,2657,2497,2762
PG1722,125,217,204,259,228,142
PGt38,114,167,143,194,155,139
PG1723,7610,8729,6403,9258,7165,11430
PGt39,1618,1854,1382,2125,1738,2402
PG1724,1121,1576,1216,2078,1815,1901
PG1725,202,286,215,327,339,370
PG1726,4054,5357,4149,6129,4957,7181
PG1727,1607,2276,1689,2757,2362,2672
PG1728,1311,1936,1609,2231,1795,1764
PG1729,10688,20456,19390,18717,15999,14647
PG1730,575,795,566,1037,838,1016
PG1731,664,807,667,1005,774,1049
PG1732,566,703,600,870,700,875
PG1733,237,328,271,294,224,322
PG1734,264,412,361,420,354,404
PG1735,202,388,339,352,324,254
PG1738,472,566,438,713,508,779
PG1739,657,923,747,1149,946,1021
PG1741,5405,7390,5899,9704,8530,10053
PG1742,43,53,43,60,64,80
PG1743,803,1349,1153,1830,1965,1530
PG1745,1023,1504,1295,2295,1893,1907
PG1746,5346,8985,7845,11801,10638,8268
PG1747,318,384,331,558,465,530
PG1748,2527,3996,3381,5195,5020,4362
PG1750,444,547,459,708,649,780
PG1751,1503,2317,1662,3241,3172,3045
PG1752,114,167,152,206,199,179
PG1753,339,560,405,639,656,662
PG1754,3216,4206,3263,4853,4369,5595
PG1755,8101,12010,9082,12383,10057,12034
PG1757,1395,1843,1386,2207,1845,2823
PG1758,15721,35386,33909,42512,44584,19529
PG1759,781,1217,1006,1522,1340,1331
PG1760,337,422,379,558,506,581
PG1761,340,626,539,806,758,605
PG1762,26888,34452,27094,44973,36624,46018
PG1763,4731,6369,5614,8847,8159,8060
predicted RNA,199,244,186,367,341,489
PG1764,44317,52244,37564,83868,76660,120170
PG1765,6871,8533,6426,13463,12574,19058
predicted RNA,494,651,497,1035,1004,1414
PG1766,477,455,375,601,467,827
PG1767,301,391,282,428,367,552
PG1768,392,637,510,707,745,600
PG1769,113,158,114,190,170,142
PG1770,337,440,395,506,528,489
PG1771,2184,3148,2589,4084,3576,4019
PG1772,1079,1453,1181,1883,1635,1882
PG1773,988,1349,1120,1787,1488,1668
PG1774,1436,2098,1731,2574,2466,2521
PG1775,984,1521,1205,1716,1697,1243
PG1776,3175,4811,3675,4706,4968,3871
PG1777,1120,1891,1542,2162,2132,1382
PG1778,2185,3266,2479,3615,3617,3147
PG1779,589,1016,697,1031,1100,777
PG1780,2924,3956,3177,5851,5393,6273
PG1781,2029,2136,1670,3025,2288,3747
PG1782,1519,1674,1236,2326,1856,3284
PG1783,1863,2816,2528,4153,3751,3229
PG1784,1252,1778,1510,2829,2210,2278
PGt40,298,650,579,671,595,317
PGt41,202,438,391,456,410,217
PG1786,3209,4545,3396,6099,5447,6092
PG1787,21,40,39,45,41,49
PG1788,24014,33796,25047,46338,38232,42311
PG1789,613,920,799,1133,898,828
PG1790,666,1020,847,1365,1354,1116
PG1791,60,77,67,96,88,104
PG1792,4018,5431,4655,7012,5972,6637
PG1793,1333,1947,1731,2565,2370,2433
PG1794,1532,1923,1649,2338,2063,2397
predicted RNA,2230,3772,3401,3589,3343,2283
PG1795,222923,386666,350041,411385,383428,263235
PG1797,7999,12848,10936,14781,12161,11515
PG1798,4460,7304,10244,7640,6454,4459
PG1799,8,18,13,18,12,11
PG1801,3576,5861,5145,7663,7150,5605
PG1802,3048,4139,3222,5486,4841,5042
PG1803,6065,8934,6734,11026,10054,9245
PG1804,1979,3214,2549,3758,3720,2782
PG1805,1085,1488,1138,1795,1543,1446
PG1806,7358,9594,7069,12631,10868,12279
PG1807,13032,15875,12122,14374,10710,14861
PG1808,2794,3578,2912,3877,3320,4299
PG1809,5664,9167,8439,10189,9045,6776
PG1810,4594,5495,4725,6086,5852,6466
PG1811,426,533,502,540,578,614
PG1812,6349,9133,7428,10985,10907,10197
PG1813,1724,2742,2690,2677,2319,2026
PG1814,2562,4128,3766,4664,4305,3514
PG1815,863,1123,886,1156,1142,1348
PG1816,622,789,648,859,779,1061
PG1817,1234,1999,1836,2733,2563,1960
PG1818,1243,1710,1536,2037,1737,1838
PG1819,1226,1575,1366,2271,1859,2359
PG1820,3043,4072,3419,5723,5209,5870
PG1821,3651,5626,5029,8826,7337,6482
PGt42,34,76,67,103,98,44
PG1823,21235,38316,33986,46102,37950,29319
PG1824,5211,5945,4762,7510,6886,9057
PG1825,81,106,97,125,103,123
PG1826,184,262,229,269,237,250
PG1827,11079,19450,20074,22633,16086,48393
predicted RNA,1177,2770,2899,2499,2695,1116
PG1828,17480,41054,42754,41251,44000,19355
PG1829,1549,2347,1842,5301,5282,4997
PG1831,765,1052,903,1385,1321,1476
PG1834,2787,3764,3101,5140,4219,5378
PG1835,4670,6335,4857,9200,7176,9379
PG1836,484,532,423,684,535,872
PG1837,15343,19383,19397,19197,18339,18776
PG1840,4,8,7,9,12,4
PG1841,956,1009,777,783,648,1253
PG1842,385,539,461,526,451,474
predicted RNA,47596,76268,73908,81120,74055,53495
predicted RNA,18895,23937,22402,26246,23480,24231
predicted RNA,11091,16566,14943,15004,14289,12143
PG1846,58,67,52,59,53,75
PG1847,2528,3061,2275,2649,2334,3377
PG1848,858,1228,1039,1682,1433,1552
PG1849,2242,2878,2385,3682,3100,3853
PG1850,1608,2284,1821,2694,2340,2407
PG1851,2041,3370,2614,4324,4492,3382
PG1852,2700,3809,3141,4820,4168,4069
PG1853,4943,8534,7449,13076,12657,8313
PG1854,929,1370,1112,1830,1703,1526
PG1855,1487,2117,1816,2767,2532,2327
PG1856,1183,2228,2052,3898,3663,2138
PG1857,64,85,82,139,104,134
PG1858,567,803,637,911,774,999
PG1859,507,852,670,1154,1091,941
PG1860,2267,2702,2223,3013,2433,3153
PG1861,222,232,176,234,151,288
PG1862,896,1026,866,1100,930,1224
PG1863,410,535,503,516,434,555
PG1864,9764,15653,14771,16142,13456,11069
PG1866,88,225,238,299,278,161
PG1868,1534,1730,1427,1293,1126,1622
PG1869,100,107,87,113,104,159
PG1870,55,91,75,104,90,98
PG1871,26,35,42,45,49,26
PG1872,5059,8038,6178,11382,11037,9069
PG1874,254,383,287,532,476,496
PG1875,808,949,797,1284,1106,1316
PG1876,1261,1708,1392,1923,1809,2120
PG1877,3477,5135,4261,9070,8309,7467
PG1878,2165,2690,2127,3326,2691,3795
PG1879,2387,3234,2545,4287,3824,3773
PG1880,1675,2089,1752,2535,2234,2690
PG1881,6530,9231,7497,8825,7085,8749
PG1884,3169,4518,3757,5614,4754,5056
PG1885,2033,2776,2343,3826,3525,3709
PG1886,706,878,723,919,820,1037
PG1887,462,651,559,987,937,796
PG1888,190,260,225,328,297,265
PG1889,3741,5864,5055,7638,6693,5527
PG1890,340,707,733,694,711,412
PG1891,790,1585,1566,1513,1501,924
PG1892,214,341,359,371,351,200
PG1893,1025,2212,2344,1754,1720,908
PG1894,1523,3006,2947,2487,2310,1384
PG1895,1187,2503,2555,2252,2235,1266
PG1896,2043,4020,3644,4348,4413,2779
PG1897,335,485,465,623,572,481
PG1898,313,397,380,515,501,401
PG1899,766,1283,1093,1679,1587,1411
PG1900,232,333,298,407,409,351
PG1901,859,1270,983,1192,1196,1348
PG1902,742,1164,1045,1545,1494,1253
PG1903,1326,2007,1881,2502,2266,2006
PG1904,8,26,22,23,28,23
PG1906,1745,2392,2149,2536,2263,2458
PG1908,6510,13414,15167,13918,13317,7621
PG1910,17569,24740,19182,25438,19689,22236
PG1911,33790,42825,29337,47605,35720,43212
PG1912,20774,25049,17599,27367,20180,27631
PG1913,14206,16537,12136,17897,13510,19731
PG1914,10006,12116,8995,13172,10702,13566
predicted RNA,551,657,492,690,569,743
PG1915,2241,2531,1881,2559,2059,3032
PG1916,4521,4908,3614,5067,4002,6100
PG1917,24320,30976,23301,39362,33245,34752
PG1918,50341,65581,49966,85151,72303,70859
PG1919,9504,11324,8900,12637,11285,11983
PG1920,2917,2909,2248,2924,2529,3554
PG1921,10627,10392,7727,11242,9318,13891
PG1922,5791,6637,5215,7486,6720,7063
PG1923,9705,11982,9547,14056,13266,12494
PG1924,5433,6182,4555,6183,5314,7076
PG1925,7876,13708,12459,18333,15983,11947
PG1926,8813,12505,10457,15131,13178,11144
PG1927,4116,5157,4092,6030,5363,5175
PG1928,4189,5637,4277,7388,6486,5359
PG1929,2083,2741,2186,3385,3052,2471
PG1930,1388,1659,1277,1727,1519,1700
PG1931,3194,3412,2546,3560,3069,4147
PG1932,6322,8167,5866,10245,9523,9430
PG1933,3870,5768,4343,6771,6268,5382
PG1934,1922,2585,2118,2807,2843,2277
PG1935,6555,9565,7177,11116,10993,9519
PG1936,2141,3069,2493,3629,3571,2585
PG1937,6651,10058,7555,14216,13025,9441
PG1938,8529,12396,9319,16846,15172,12377
PG1939,2778,4010,3082,4161,3785,3362
PG1940,11199,16229,12435,19296,20054,16074
PG1941,2660,4097,3273,4704,4439,3732
PG1942,3141,5008,3822,5618,5722,4446
PG1943,418,519,429,726,586,776
PG1944,1680,2901,2238,3807,3715,3186
PG1945,202,384,267,507,515,464
PG1946,242,324,246,436,391,407
PG1947,1806,2798,2458,3770,3541,3221
PG1948,1288,1690,1362,1847,1639,1972
PG1949,4572,7741,5988,9514,8508,8591
PG1950,3545,3659,2686,3903,2635,4584
PG1951,3651,4563,3687,5671,4822,5801
PG1952,557,685,570,928,763,1115
PG1953,2652,3826,3032,4891,4081,4541
PG1954,1153,1484,1250,1665,1438,1939
PG1956,4149,6334,5077,7004,6440,6023
predicted RNA,514,1112,1005,1524,1461,746
PG1959,13086,28816,26333,39219,37683,19564
PG1960,14692,32032,28513,43623,40205,22066
predicted RNA,919,1940,1695,2683,2457,1327
PG1961,7012,9676,7399,13681,11502,13622
PG1963,426,640,574,1145,1030,941
PG1964,474,748,554,1004,938,1007
PG1966,206,356,262,480,466,463
PG1967,97,147,95,165,160,220
PG1968,90,162,171,194,201,115
PG1969,913,1690,1467,2199,2017,1675
PG1970,87,169,164,220,196,136
PG1972,2516,4753,3776,5077,5065,3728
PG1974,15605,33512,29691,35484,35730,18786
PG1975,1494,2911,2372,3192,3324,2299
PG1977,933,1567,1270,1845,1880,1517
PG1978,554,811,637,960,851,939
PG1979,96,149,139,159,113,103
PG1980,344,636,557,416,359,413
PG1981,256,478,492,465,394,293
PG1982,927,1318,1238,1434,1313,1308
PG1983,269,440,390,551,528,441
PG1984,378,583,558,608,539,422
PG1985,950,1310,1365,1424,1305,1070
PG1986,2309,3093,2994,3091,2673,2467
PG1987,5430,8539,8665,7002,6056,5007
PG1988,5196,8207,8469,6463,5799,4700
PG1989,676,1084,1079,822,714,673
PG1992,744,1412,1158,1885,2251,1213
PG1993,413,578,507,679,636,714
PG1994,376,472,384,493,410,620
PG1995,229,254,216,343,264,341
PG1996,782,1194,1035,1441,1345,1365
PG1997,113,143,119,157,155,190
PG1998,4167,5065,3981,5516,4109,5415
PG1999,411,508,434,623,502,530
PG2000,649,790,648,1324,1097,1122
PG2001,594,780,716,1055,956,991
PG2002,875,1332,1079,1953,1791,1686
PG2003,840,1342,1050,1798,1574,1420
PG2004,334,419,324,601,524,623
PG2006,420,546,505,619,488,594
PG2008,807,789,675,944,836,1383
PG2009,1036,1715,1643,1998,1901,1416
PG2010,5503,6967,5910,7399,5931,8018
PG2013,608,1014,1088,1154,1035,672
PG2014,1676,2620,2571,2486,2331,1962
PG2015,999,1696,1622,1644,1432,1157
PG2016,8929,15735,16520,13478,12313,8203
PG2017,13310,25675,27927,18291,17812,11552
PG2018,7543,13478,13986,10814,10034,7144
PG2019,3946,6391,6370,5118,4370,3827
PG2020,3019,4820,4618,4290,3593,3357
PG2021,1956,2874,2516,3869,3374,3041
PG2022,3127,4457,3844,6603,5747,5993
PG2023,808,1445,1271,1960,1959,1429
PGt43,29,50,48,68,69,44
PG2024,95925,119664,107335,111008,101295,105932
PG2026,354,480,373,615,604,673
PG2027,2121,3846,3270,5115,4899,3737
PG2028,501,809,623,1142,1126,965
PG2029,1930,2940,2386,3904,3858,3402
PG2030,920,1176,1090,1122,887,1118
PG2031,2883,4472,4570,5846,4490,4312
PG2032,941,1588,1292,2063,1859,1949
PG2033,2013,2612,1868,3788,3444,4163
PG2034,2056,2644,1911,3523,3108,3687
PG2035,172,282,219,449,435,372
PG2036,220,340,242,523,562,496
PG2037,165,250,183,328,333,363
PG2038,306,614,421,925,1025,713
PG2040,1782,3382,2424,5723,6587,4475
PG2041,530,863,748,1003,943,870
PG2042,1025,1885,1809,2102,1911,1588
PG2043,646,1153,1010,1347,1439,1112
PG2044,12294,21118,18017,25651,22061,17365
PG2046,761,1317,1089,1582,1386,1066
PG2047,973,1452,1441,2294,2023,1631
PG2048,663,718,604,932,789,1231
PG2049,2158,3283,3045,5324,4594,4046
PG2050,15474,31958,34284,27113,24221,13344
PG2052,2154,2949,2194,3740,3115,3687
PG2053,916,1149,860,1353,1051,1438
PG2054,8704,12134,9024,14426,12195,13688
PG2055,9943,14339,10869,17347,14842,15612
PGt44,311,716,638,993,996,399
PG2057,454,779,679,833,736,638
PG2058,382,605,509,619,528,485
PG2060,2041,2577,2039,3349,2859,3420
PG2061,576,793,692,1014,920,982
PG2062,2671,3484,2652,4394,3873,4489
PG2063,25,34,33,34,28,31
PG2064,62,106,93,137,129,106
PG2065,668,847,731,1357,1257,1404
PG2066,2042,3066,2428,4072,3660,3951
PG2067,2495,4353,3636,5585,5607,4455
PG2068,542,790,568,773,725,883
PG2069,1563,4588,3999,5703,6818,2646
PG2070,1190,1801,1358,2025,1790,1952
PG2071,954,1536,1188,2060,1819,1956
PG2072,1846,2439,2023,3131,2798,3172
PG5SD,1,13,49,8,12,2
PG23SD,11835,18559,12881,19423,10846,7450
PGt45,222,529,427,1717,1698,891
PGt46,4704,11249,9298,39990,40136,19844
PG2073,14553,34036,28792,109768,110020,54484
PG2074,1063,1777,1463,4093,3856,2412
PG16SD,7062,12049,8264,10367,4770,3777
PG2075,775,1647,1505,4514,4715,2642
PG2076,669,1283,923,2106,2155,1534
PG2077,61,73,77,79,89,85
PG2078,380,508,482,628,566,685
PG2079,28,52,44,33,38,40
PG2080,388,614,436,769,671,690
PG2081,317,466,362,596,545,581
PG2082,37496,46685,34269,57965,42808,59506
PG2083,3194,4369,3554,6701,5567,7059
PG2085,5842,8607,6464,10955,9364,9465
PG2086,2343,2903,2104,3731,3033,4518
PG2087,2108,2729,1896,3553,2845,4067
PG2088,2757,3696,2753,4603,3992,4994
PG2089,2253,2499,1990,3193,2620,3733
PG2090,1897,2596,2186,3247,2526,2998
PG2091,399,482,418,599,473,637
PG2092,995,1866,1659,2575,2308,1713
PG2094,2101,2973,2267,4101,3622,3895
PG2095,973,1280,1044,1551,1379,1611
PG2096,5437,7335,5530,8712,7427,8709
PG2097,3075,3923,2771,4314,3481,5676
PG2098,151,253,197,334,295,296
PG2099,1549,2602,1974,4093,3884,3391
PG2100,360,703,589,757,657,570
PG2101,130,171,124,169,152,233
PG2102,857,1140,850,1513,1123,1982
PG2103,37,58,63,80,60,42
PG2104,20,42,41,46,33,27
PGt47,199,452,417,443,403,184
PG2105,17720,38122,36110,45528,47201,25112
PG2106,10788,18730,18244,25720,21966,18288
PG2107,50,61,62,106,93,103
PG2108,11,30,24,33,31,30
PG2109,108,227,238,205,257,143
PG2110,40,83,67,103,135,96
PG2111,49,92,93,178,138,90
PG2112,1052,1599,1300,2169,1764,1728
PG2114,54,80,79,118,116,73
PG2116,67,76,61,103,78,96
PG2117,36179,62766,52462,56589,50804,36979
PG2119,991,1238,1050,1590,1346,1605
PG2120,806,971,781,1258,1055,1294
PG2121,2169,2683,2034,3191,2769,3764
PG2123,611,912,795,1179,961,908
PG2124,15302,19776,15383,24283,20064,22613
PG2125,1102,1741,1460,2399,1936,1729
PG2126,3218,5181,3950,7306,6547,6082
PG2127,2584,4525,3766,5318,4915,3809
PG2128,533,875,797,952,803,746
PG2129,535,889,770,909,756,689
PG2130,28,53,52,54,44,49
PG2131,71,98,102,97,106,101
PG2132,1244,1728,1290,1355,1138,1296
PG2133,30,59,56,56,48,53
PG2134,104,114,100,114,93,151
PG2135,368,480,465,443,420,410
PG2136,593,973,897,1001,993,709
PG2139,7856,12954,10879,18433,16008,13283
PG2140,4259,7924,7668,10585,10098,7545
PG2141,7939,11431,8688,14673,12802,14436
PG2142,1918,2703,2169,3466,3050,3269
PG2143,2638,3547,3004,4529,3728,4169
PG2144,4686,5914,4633,7635,6542,8333
PG2145,359,508,431,592,506,545
PG2146,321,486,366,618,492,415
PG2147,550,692,548,861,648,854
PG2148,578,929,674,1098,1123,1079
PG2149,619,881,671,1395,1210,1290
PG2150,1717,2568,1972,3678,3360,3530
PG2152,3106,3436,2567,3584,3094,3864
PGt48,117,187,153,169,151,128
PG2154,475,729,567,917,725,876
PG2155,1684,2313,1726,2944,2271,3325
PG2156,522,739,525,984,753,1075
PG2157,420,693,593,882,831,771
PG2158,370,571,499,803,705,717
PG2159,923,1254,1031,1930,1658,1861
PG2161,283,399,351,419,321,332
PG2162,841,1141,884,1367,1275,1383
PG2163,1984,2852,2379,3528,3152,2819
PG2164,1276,1894,1590,2186,2073,2046
PG2165,3873,5553,4420,6681,6270,6669
PG2166,75,131,110,155,142,94
PG2167,53181,84824,72192,100432,85652,70899
PG2168,15670,24702,20950,31334,25827,23815
PG2170,2460,3986,3180,4272,3733,3740
PG2171,1213,1691,1517,1990,1796,1803
PG2172,12299,13937,10824,16787,13218,17903
PG2173,5118,6201,4753,6633,5474,8038
PG2174,8021,10122,8643,12321,10928,13746
PG2175,4424,5230,4199,5787,4221,6504
PG2176,5066,8570,7585,11333,10322,7810
PGt49,22,54,54,59,62,28
PG2177,5451,6476,4708,7010,5565,8070
PG2178,2042,2129,1543,2364,1838,3303
PG2179,1847,1955,1510,2224,1810,2750
PG2180,1442,1776,1394,1773,1621,2107
PG2181,3778,7018,6152,16162,15438,9510
PG2182,3085,4345,3430,5182,4804,5279
PG2185,542,755,692,1081,1057,904
PG2186,177,300,299,356,306,236
PG2187,732,1294,1206,1663,1648,1127
PG2188,1539,2689,2118,3198,3311,2576
PG2189,1888,2619,2210,3710,3312,3665
PG2190,2261,3134,2591,4444,3877,4347
PG2192,39232,61389,51094,60757,52810,38884
PG2194,720,1147,982,1293,1082,939
PG2197,1446,1748,1364,1883,1490,2193
PG2199,1227,1635,1144,2354,1939,2100
PG2200,1403,1998,1532,2655,2429,2684
PG2201,587,735,570,1047,995,1108
PG2202,275,598,536,901,1143,522
PG2204,1520,2342,2068,2503,2330,2293
PG2205,2563,3475,2671,3500,3216,3739
PG2206,2150,3150,2608,3726,3377,3466
PG2207,2699,4504,3655,5506,5068,4600
PG2208,224,237,222,291,223,370
PG2209,259,368,356,475,450,554
PG2210,1504,2319,1925,2886,2749,2594
PGt50,409,520,408,694,591,588
PGt51,846,1083,877,1466,1239,1308
PGt52,353,425,339,508,428,541
PG2212,269,558,577,678,593,917
PG2213,1339,2832,3123,3662,3261,5784
PG2214,594,828,708,1122,1074,982
PG2215,1488,2074,1808,2475,2244,2333
PG2216,3181,4584,3362,5548,4586,6121
PG2217,1402,2036,1702,3040,2855,3057
PG2218,848,1363,1058,2037,1916,1715
PG2219,987,1291,1074,1999,1724,1980
PGt53,13,31,23,30,29,13
PG2220,44,55,50,72,52,42
PG2221,438,875,729,1330,1230,920
PG2222,159,249,218,278,292,246
PG2223,143,198,187,281,275,279
PG2224,636,1033,1094,1591,1407,1000
PG2225,194,224,194,362,279,315
PG2226,90,153,159,221,219,231
PG2227,173,284,190,330,297,262