key,Gal_NO_A,Gal_NO_B,Gal_A,Gal_B
SAUSA300_0679,747,846,863,790
SAUSA300_0680,441,329,561,599
SAUSA300_0681,6615,6771,853,1040
SAUSA300_0682,368,312,310,343
SAUSA300_0683,264,256,1162,1422
SAUSA300_0684,295,304,821,879
SAUSA300_0685,662,690,1331,1482
SAUSA300_0686,1274,1189,1310,1393
SAUSA300_0687,7393,7539,6167,5338
SAUSA300_0688,1207,1312,1245,1330
SAUSA300_0689,1430,1402,1133,1151
SAUSA300_0690,1121,1345,4584,4688
SAUSA300_0691,2044,2489,9757,9875
SAUSA300_0692,773,871,4379,4127
SAUSA300_0693,2285,2557,16314,15540
SAUSA300_0694,1279,1022,333,425
SAUSA300_0695,1544,1414,560,640
SAUSA300_0696,1080,1164,375,531
SAUSA300_0697,890,916,304,237
SAUSA300_0698,266,268,205,216
SAUSA300_0699,392,447,423,385
SAUSA300_0700,534,521,570,593
SAUSA300_0701,1089,954,928,864
SAUSA300_0702,1911,1917,1762,1706
SAUSA300_0703,20722,22584,15117,15415
SAUSA300_0704,2119,2297,839,899
SAUSA300_0705,2478,2374,978,977
SAUSA300_0706,1000,952,804,817
SAUSA300_0707,1257,1331,1182,1065
SAUSA300_0708,175,193,176,134
SAUSA300_0709,939,938,589,462
SAUSA300_0710,326,313,226,189
SAUSA300_0711,1066,854,934,975
SAUSA300_0712,3514,3932,5360,5632
SAUSA300_0713,1216,1170,1164,1249
SAUSA300_0714,585,589,541,656
SAUSA300_0715,12203,14144,4001,3662
SAUSA300_0716,15519,16357,6779,7308
SAUSA300_0717,17449,18015,10879,10720
SAUSA300_0718,708,569,1932,2254
SAUSA300_0719,152,180,850,1001
SAUSA300_0720,217,209,1268,1330
SAUSA300_0721,1155,1215,12273,12565
SAUSA300_0722,1086,1098,1354,1291
SAUSA300_0723,285,178,168,140
SAUSA300_0724,1904,1983,1506,1150
SAUSA300_0725,3759,3532,2579,2299
SAUSA300_0726,1393,1272,1211,1341
SAUSA300_0727,3476,4047,4359,3979
SAUSA300_0728,852,957,881,1000
SAUSA300_0729,586,662,614,760
SAUSA300_0730,1124,1315,1505,1388
SAUSA300_0731,586,531,491,575
SAUSA300_0732,1857,2088,725,650
SAUSA300_0733,1740,1571,1762,2025
SAUSA300_0734,26,31,24,24
SAUSA300_0735,33,80,45,21
SAUSA300_0736,31885,26155,24185,28457
SAUSA300_0737,10140,10465,7988,8062
SAUSA300_0738,1299,1292,1162,1192
SAUSA300_0739,226,247,102,108
SAUSA300_0740,1186,1176,615,540
SAUSA300_0741,4213,3998,1664,1726
SAUSA300_0742,4548,4483,2212,2360
SAUSA300_0743,2183,2281,3033,3077
SAUSA300_0744,1120,1074,1302,1570
SAUSA300_0745,1365,1355,1972,2299
SAUSA300_0746,633,653,985,955
SAUSA300_0747,8126,8018,10220,10299
SAUSA300_0748,1611,1415,1003,1217
SAUSA300_0749,4390,3844,3410,3371
SAUSA300_0750,6424,5364,3501,3375
SAUSA300_0751,14250,13481,11164,18032
SAUSA300_0752,10935,12742,12042,11815
SAUSA300_0753,1714,1921,1761,1738
SAUSA300_0754,1358,1585,1153,694
SAUSA300_0755,13144,12720,21948,20851
SAUSA300_0756,38851,43643,44243,58590
SAUSA300_0757,7826,7753,9598,10371
SAUSA300_0758,11313,12470,17212,13495
SAUSA300_0759,9631,9260,10481,10946
SAUSA300_0760,31932,31343,37442,44833
SAUSA300_0761,2323,2443,2547,3096
SAUSA300_0762,7167,7171,6726,7826
SAUSA300_0763,1339,1275,1619,1493
SAUSA300_0764,1408,1353,2047,2035
SAUSA300_0765,1531,1611,2492,2275
SAUSA300_0766,138491,234236,67301,179114
SAUSA300_0767,556,433,338,278
SAUSA300_0768,1169,1221,969,1128
SAUSA300_0769,292,422,368,358
SAUSA300_0770,25,12,43,51
SAUSA300_0771,58,155,156,103
SAUSA300_0772,2679,2749,2550,2198
SAUSA300_0773,17,27,163,185
SAUSA300_0774,127,141,198,225
SAUSA300_0775,8,27,67,96
SAUSA300_0776,4667,4449,6390,6123
SAUSA300_0777,103756,165634,48969,90532
SAUSA300_0778,293,364,253,349
SAUSA300_0779,734,758,876,805
SAUSA300_0780,404,436,496,395
SAUSA300_0781,1059,808,1496,2106
SAUSA300_0782,2867,2798,3707,4358
SAUSA300_0783,589,494,631,618
SAUSA300_0784,639,720,261,212
SAUSA300_0785,563,465,1399,1579
SAUSA300_0786,1195,1205,2062,1833
SAUSA300_0787,370,661,234,268
SAUSA300_0788,12254,9934,8021,8269
SAUSA300_0789,3903,3425,2182,2369
SAUSA300_0790,4407,4019,4477,5487
SAUSA300_0791,18555,16523,27056,29743
SAUSA300_0792,44,60,89,53
SAUSA300_0793,352,312,488,479
SAUSA300_0794,914,863,673,727
SAUSA300_0795,486,431,299,366
SAUSA300_0796,786,849,1008,932
SAUSA300_0797,450,548,723,796
SAUSA300_0798,771,939,1423,1358
SAUSA300_0799,199,210,332,314
SAUSA300_0800,345,323,576,743
SAUSA300_0801,509,559,727,855
SAUSA300_0802,1273,1408,1584,1444
SAUSA300_0803,1202,1320,1537,1269
SAUSA300_0804,498,341,545,671
SAUSA300_0805,188,271,362,350
SAUSA300_0806,155,154,216,164
SAUSA300_0807,201,238,257,230
SAUSA300_0808,158,176,140,198
SAUSA300_0809,207,202,212,221
SAUSA300_0810,533,565,349,355
SAUSA300_0811,632,663,500,480
SAUSA300_0812,806,860,628,785
SAUSA300_0813,561,538,377,463
SAUSA300_0814,693,737,1195,1362
SAUSA300_0815,437,482,2183,1828
SAUSA300_0816,106054,142412,58356,114949
SAUSA300_0817,876,946,1056,948
SAUSA300_0818,9548,10180,7699,7726
SAUSA300_0819,12572,12130,10515,9854
SAUSA300_0820,16949,17697,12287,12100
SAUSA300_0821,34457,37511,24704,20735
SAUSA300_0822,29098,28468,19796,19638
SAUSA300_0823,75,241,44,66
SAUSA300_0824,605,653,559,537
SAUSA300_0825,908,1113,711,758
SAUSA300_0826,1161,1157,753,840
SAUSA300_0827,1172,1234,936,888
SAUSA300_0828,1693,1739,1356,1261
SAUSA300_0829,9089,10199,7631,7186
SAUSA300_0830,2046,2209,1562,1479
SAUSA300_0831,671,873,1187,798
SAUSA300_0832,2183,1913,2735,2818
SAUSA300_0833,4040,3785,5513,5104
SAUSA300_0834,3469,3584,4367,4507
SAUSA300_0835,1378,1543,2563,2779
SAUSA300_0836,1362,1571,3565,3038
SAUSA300_0837,1800,1357,4102,3759
SAUSA300_0838,1669,1554,3609,3427
SAUSA300_0839,23308,22638,9736,9908
SAUSA300_0840,1048,1041,660,805
SAUSA300_0841,5399,5503,4656,3921
SAUSA300_0842,2684,2484,1113,1368
SAUSA300_0843,5562,5859,5081,5574
SAUSA300_0844,4391,4289,10148,9142
SAUSA300_0845,2738,3024,4254,3716
SAUSA300_0846,357,362,775,878
SAUSA300_0847,1307,1397,1880,1675
SAUSA300_0848,18396,19583,14974,14381
SAUSA300_0849,1703,2117,2027,2433
SAUSA300_0850,1915,1992,2191,2759
SAUSA300_0851,1645,1753,2425,2363
SAUSA300_0852,2234,2166,2818,2921
SAUSA300_0853,1776,1599,2477,2598
SAUSA300_0854,3048,3187,4240,4666
SAUSA300_0855,2227,2294,2798,3103
SAUSA300_0856,2227,1813,2552,2172
SAUSA300_0857,5644,5641,8233,7543
SAUSA300_0858,16031,15651,11348,9444
SAUSA300_0859,2281,2454,1260,1325
SAUSA300_0860,8023,7762,13630,14514
SAUSA300_0861,16040,14952,23877,25618
SAUSA300_0862,1703,1886,3057,2608
SAUSA300_0863,135,120,102,120
SAUSA300_0864,54,66,60,53
SAUSA300_0865,5088,4989,9966,9869
SAUSA300_0866,874,832,821,857
SAUSA300_0867,3080,3330,3600,3171
SAUSA300_0868,1847,1844,2266,2420
SAUSA300_0869,657,648,452,523
SAUSA300_0870,1590,1660,1364,1385
SAUSA300_0871,14666,15357,11822,11014
SAUSA300_0872,910,957,1077,1351
SAUSA300_0873,6091,6296,7681,7239
SAUSA300_0874,1563,1508,1038,1121
SAUSA300_0875,16981,12352,11553,14731
SAUSA300_0876,103,100,65,55
SAUSA300_0877,888,949,1720,1516
SAUSA300_0878,72,54,13,9
SAUSA300_0879,5,14,9,20
SAUSA300_0880,15,22,11,15
SAUSA300_0881,48,57,43,33
SAUSA300_0882,420,389,319,400
SAUSA300_0883,9711,10371,9389,7448
SAUSA300_0884,5616,6390,16146,13486
SAUSA300_0885,1086,1064,4410,4149
SAUSA300_0886,3887,3775,10072,10803
SAUSA300_0887,1868,1498,755,987
SAUSA300_0888,1853,2107,981,1268
SAUSA300_0889,3388,4006,1753,2294
SAUSA300_0890,1772,1916,949,1243
SAUSA300_0891,5731,6345,3734,3464
SAUSA300_0892,9,31,15,14
SAUSA300_0893,7,9,11,7
SAUSA300_0894,19,24,34,7
SAUSA300_0895,76,77,53,47
SAUSA300_0896,66,56,35,39
SAUSA300_0897,1612,1732,2481,2344
SAUSA300_0898,76110,87171,48039,54176
SAUSA300_0899,14744,14941,9226,8603
SAUSA300_0900,41,3,17,16
SAUSA300_0901,32,27,33,37
SAUSA300_0902,4578,4803,5621,5995
SAUSA300_0903,4533,4106,1592,1216
SAUSA300_0904,5589,6211,2658,2464
SAUSA300_0905,910,986,562,534
SAUSA300_0906,865,688,906,945
SAUSA300_0907,2629,2620,2724,2602
SAUSA300_0908,2403,2175,2576,2776
SAUSA300_0909,870,899,964,1115
SAUSA300_0910,707,785,780,914
SAUSA300_0911,1110,1107,1335,1389
SAUSA300_0912,3902,3809,6771,7397
SAUSA300_0913,1091,1037,1014,1150
SAUSA300_0914,228,224,346,270
SAUSA300_0915,346,293,161,169
SAUSA300_0916,8500,7438,14947,14554
SAUSA300_0917,975,1094,735,810
SAUSA300_0918,1437,1451,719,701
SAUSA300_0919,1289,1371,1178,1217
SAUSA300_0920,851,752,776,815
SAUSA300_0921,1867,1837,2100,2076
SAUSA300_0922,267,308,785,724
SAUSA300_0923,706,688,935,899
SAUSA300_0924,1542,1602,1480,1544
SAUSA300_0925,543,499,433,467
SAUSA300_0926,68694,113036,66697,177093
SAUSA300_0927,1407,4386,2490,4764
SAUSA300_0928,50,40,79,49
SAUSA300_0929,17189,20760,11216,9816
SAUSA300_0930,1962,1623,1835,1967
SAUSA300_0931,5575,5035,3649,4357
SAUSA300_0932,3127,2547,1997,2308
SAUSA300_0933,23883,19820,49750,38533
SAUSA300_0934,31,25,21,37
SAUSA300_0935,59,60,34,56
SAUSA300_0936,136,156,81,38
SAUSA300_0937,357,329,410,479
SAUSA300_0938,696,587,593,675
SAUSA300_0939,1124,912,1246,1418
SAUSA300_0940,66,92,467,496
SAUSA300_0941,145,147,223,230
SAUSA300_0942,239,238,176,257
SAUSA300_0943,784,870,479,404
SAUSA300_0944,1572,1728,1609,1667
SAUSA300_0945,2192,2390,973,1100
SAUSA300_0946,4120,4227,2506,2621
SAUSA300_0947,3818,4475,2617,2576
SAUSA300_0948,11610,11405,11210,12525
SAUSA300_0949,138,93,83,46
SAUSA300_0950,91,124,87,93
SAUSA300_0951,61,102,82,69
SAUSA300_0952,438,404,346,334
SAUSA300_0953,63,90,156,160
SAUSA300_0954,1069,829,703,563
SAUSA300_0955,54952,65296,14435,13090
SAUSA300_0956,948,841,272,194
SAUSA300_0957,3238,2926,972,1175
SAUSA300_0958,5420,5878,1811,1722
SAUSA300_0959,1277,1268,971,1024
SAUSA300_0960,24960,26068,43681,64031
SAUSA300_0961,19971,20282,43881,50770
SAUSA300_0962,31047,33287,44637,68622
SAUSA300_0963,31088,32949,42285,70337
SAUSA300_0964,6989,6415,8465,7551
SAUSA300_0965,17345,18385,28839,22467
SAUSA300_0966,674,744,1161,973
SAUSA300_0967,267,292,348,362
SAUSA300_0968,134,128,125,203
SAUSA300_0969,260,347,509,549
SAUSA300_0970,373,460,647,708
SAUSA300_0971,619,629,896,922
SAUSA300_0972,824,829,1118,1115
SAUSA300_0973,676,644,972,977
SAUSA300_0974,833,808,921,1058
SAUSA300_0975,1578,1645,1780,1713
SAUSA300_0976,2284,2244,2366,2155
SAUSA300_0977,650,781,495,545
SAUSA300_0978,824,718,537,591
SAUSA300_0979,599,658,565,451
SAUSA300_0980,3268,2989,2858,2980
SAUSA300_0981,668,759,621,692
SAUSA300_0982,3467,3477,7579,6604
SAUSA300_0983,42277,50809,48348,45685
SAUSA300_0984,41388,40926,33627,38115
SAUSA300_0985,447,367,145,148
SAUSA300_0986,152,144,2259,2165
SAUSA300_0987,146,100,1733,1682
SAUSA300_0988,1590,1626,3324,3107
SAUSA300_0989,12575,12179,7342,6891
SAUSA300_0990,8689,8181,5780,5568
SAUSA300_0991,7120,6649,4509,4326
SAUSA300_0992,8255,9045,5329,5082
SAUSA300_0993,63953,81271,45073,59918
SAUSA300_0994,67577,71593,38679,52648
SAUSA300_0995,74262,80307,42465,54992
SAUSA300_0996,78896,88983,42349,54278
SAUSA300_0997,736,723,1554,1063
SAUSA300_0998,38,37,445,472
SAUSA300_0999,92,85,786,889
SAUSA300_1000,39,18,286,359
SAUSA300_1001,69,73,650,769
SAUSA300_1002,751,695,3681,3421
SAUSA300_1003,5111,5073,5208,4639
SAUSA300_1004,1121,774,1230,1088
SAUSA300_1005,326,281,172,191
SAUSA300_1006,5429,5068,3916,3544
SAUSA300_1007,4408,4130,6480,6095
SAUSA300_1008,1918,2576,1772,2224
SAUSA300_1009,1126,926,3099,2982
SAUSA300_1010,2234,1964,1507,1673
SAUSA300_1011,1578,1777,1147,1058
SAUSA300_1012,17477,20271,13051,17309
SAUSA300_1013,1498,1565,1329,1371
SAUSA300_1014,2468,2393,2132,1947
SAUSA300_1015,855,784,2653,2605
SAUSA300_1016,719,787,2406,2849
SAUSA300_1017,719,693,2753,3279
SAUSA300_1018,1423,1386,1444,1305
SAUSA300_1019,3090,4354,3393,3309
SAUSA300_1020,570,687,1346,1335
SAUSA300_1021,295,352,301,356
SAUSA300_1022,630,506,547,629
SAUSA300_1023,1000,1052,734,681
SAUSA300_1024,1117,1230,928,1046
SAUSA300_1025,287,369,335,311
SAUSA300_1026,3598,3688,10727,11912
SAUSA300_1027,8388,11352,23490,23120
SAUSA300_1028,23905,28015,51100,72151
SAUSA300_1029,95477,140031,54969,116689
SAUSA300_1030,44149,49993,36371,46993
SAUSA300_1031,23985,24627,21768,22496
SAUSA300_1032,22914,23003,21088,20273
SAUSA300_1033,15549,14996,13129,13967
SAUSA300_1034,16040,15786,12883,14369
SAUSA300_1035,13669,14693,12508,13750
SAUSA300_1036,1973,2121,2104,2330
SAUSA300_1037,503,501,1911,1994
SAUSA300_1038,1050,1090,3864,3875
SAUSA300_1039,210,221,289,221
SAUSA300_1040,1438,1626,1292,1063
SAUSA300_1041,1200,1171,843,816
SAUSA300_1042,632,632,490,515
SAUSA300_1043,1182,1244,1179,1189
SAUSA300_1044,65158,60564,40643,42689
SAUSA300_1045,591,635,529,505
SAUSA300_1046,1544,1707,942,1293
SAUSA300_1047,5784,6130,4918,5348
SAUSA300_1048,6889,6188,6823,6982
SAUSA300_1049,1675,1689,720,706
SAUSA300_1050,2162,1753,1052,938
SAUSA300_1051,1575,1477,845,919
SAUSA300_1052,3340,3489,27535,24866
SAUSA300_1053,386,559,1721,1672
SAUSA300_1054,1420,1345,1316,1314
SAUSA300_1055,3476,3509,32522,45715
SAUSA300_1056,1535,1440,17975,16455
SAUSA300_1057,2007,2075,3136,2542
SAUSA300_1058,12602,13256,26662,24527
SAUSA300_1059,60,164,95,112
SAUSA300_1060,69,42,46,66
SAUSA300_1061,40,31,67,40
SAUSA300_1062,361,392,637,541
SAUSA300_1063,333,319,496,479
SAUSA300_1064,213,219,281,279
SAUSA300_1065,863,870,837,751
SAUSA300_1066,17649,17977,24000,34973
SAUSA300_1067,47,41,28,14
SAUSA300_1068,103,151,41,28
SAUSA300_1069,256,291,259,304
SAUSA300_1070,7413,6166,5478,5117
SAUSA300_1071,1958,1850,1029,1113
SAUSA300_1072,18011,16243,27416,24707
SAUSA300_1073,17503,19301,17240,16673
SAUSA300_1074,14063,14732,18978,14782
SAUSA300_1075,3911,3802,5025,4875
SAUSA300_1076,1152,951,1428,1469
SAUSA300_1077,2150,1849,2558,2555
SAUSA300_1078,2787,2992,3421,3183
SAUSA300_1079,11742,11733,16648,16072
SAUSA300_1080,25619,26002,34371,38493
SAUSA300_1081,1459,1529,796,630
SAUSA300_1082,8143,7375,5513,4871
SAUSA300_1083,11646,12170,8530,7426
SAUSA300_1084,2700,2143,1403,1484
SAUSA300_1085,788,814,609,511
SAUSA300_1086,7717,9145,6877,5337
SAUSA300_1087,1657,1812,2971,3160
SAUSA300_1088,857,967,443,409
SAUSA300_1089,600,657,804,970
SAUSA300_1090,2497,2431,3719,3701
SAUSA300_1091,867,1132,2619,2494
SAUSA300_1092,23,46,67,85
SAUSA300_1093,38,16,74,68
SAUSA300_1094,80,69,146,140
SAUSA300_1095,137,86,157,274
SAUSA300_1096,161,149,267,276
SAUSA300_1097,106,110,140,177
SAUSA300_1098,98,50,109,122
SAUSA300_1099,1007,1158,700,557
SAUSA300_1100,2202,2288,2335,2184
SAUSA300_1101,1065,1050,746,794
SAUSA300_1102,4362,4217,3271,3296
SAUSA300_1103,7519,6909,8433,8372
SAUSA300_1104,943,904,573,570
SAUSA300_1105,1895,2003,1411,1473
SAUSA300_1106,472,448,495,444
SAUSA300_1107,6459,5588,6679,7573
SAUSA300_1108,1275,1031,797,753
SAUSA300_1109,1579,1645,1670,1544
SAUSA300_1110,1867,1742,2220,2240
SAUSA300_1111,2073,1896,2806,2699
SAUSA300_1112,1637,1577,1957,2331
SAUSA300_1113,3130,3199,4123,4152
SAUSA300_1114,1765,1915,1289,1259
SAUSA300_1115,2995,2771,2669,2222
SAUSA300_1116,2458,2591,1879,1751
SAUSA300_1117,136702,216969,66762,171720
SAUSA300_1118,4118,3864,3781,4755
SAUSA300_1119,3908,3772,5259,5291
SAUSA300_1120,1240,1182,679,590
SAUSA300_1121,2511,2627,6811,6908
SAUSA300_1122,4124,3959,9981,9654
SAUSA300_1123,3990,4236,9444,10370
SAUSA300_1124,8987,8958,22318,23829
SAUSA300_1125,98284,98145,57953,132716
SAUSA300_1126,338,258,248,309
SAUSA300_1127,760,846,726,811
SAUSA300_1128,1189,1114,1127,1347
SAUSA300_1129,1062,1201,864,973
SAUSA300_1130,6011,5503,5552,5382
SAUSA300_1131,23514,26205,28517,22693
SAUSA300_1132,350,270,334,481
SAUSA300_1133,999,1111,1277,1472
SAUSA300_1134,54912,55879,60867,95796
SAUSA300_1135,447,479,338,334
SAUSA300_1136,1117,1229,1220,1144
SAUSA300_1137,1070,1203,1143,1347
SAUSA300_1138,12346,12362,20138,24156
SAUSA300_1139,32525,30874,41750,60692
SAUSA300_1140,83,54,80,112
SAUSA300_1141,127,122,95,71
SAUSA300_1142,60,61,67,70
SAUSA300_1143,1880,1996,2855,2790
SAUSA300_1144,2112,2223,3709,3644
SAUSA300_1145,3156,3052,1836,2229
SAUSA300_1146,8439,8353,5002,5560
SAUSA300_1147,8926,9114,6741,6730
SAUSA300_1148,9247,8098,9079,9125
SAUSA300_1149,16505,17874,35256,35496
SAUSA300_1150,21149,19797,34672,35553
SAUSA300_1151,3753,3648,6085,6466
SAUSA300_1152,6047,6285,10660,9586
SAUSA300_1153,1110,1202,3138,3612
SAUSA300_1154,1511,1572,2718,2685
SAUSA300_1155,1355,1467,2304,2440
SAUSA300_1156,2303,2309,4349,4412
SAUSA300_1157,2773,3018,2090,1896
SAUSA300_1158,3410,3391,2497,2487
SAUSA300_1159,5353,5669,5361,4951
SAUSA300_1160,3720,3395,4018,3890
SAUSA300_1161,4375,3984,3740,4049
SAUSA300_1162,6852,7344,7717,7656
SAUSA300_1163,3650,3032,2762,2811
SAUSA300_1164,1272,1284,1269,1200
SAUSA300_1165,3262,3190,2439,1852
SAUSA300_1166,63791,85898,58643,96780
SAUSA300_1167,5690,5552,7151,7513
SAUSA300_1168,10018,10378,6876,6599
SAUSA300_1169,2060,2106,2143,2304
SAUSA300_1170,1884,1659,2259,2000
SAUSA300_1171,1201,1266,1159,1240
SAUSA300_1172,896,881,1044,1224
SAUSA300_1173,1913,1927,2517,2532
SAUSA300_1174,2544,2409,2435,2416
SAUSA300_1175,2424,2427,2251,2490
SAUSA300_1176,2376,2197,1742,1973
SAUSA300_1177,585,635,391,400
SAUSA300_1178,24032,23256,8999,8128
SAUSA300_1179,15357,15032,14689,13820
SAUSA300_1180,5224,5357,2373,1791
SAUSA300_1181,2090,2184,2443,2370
SAUSA300_1182,4105,4428,1273,1167
SAUSA300_1183,6472,6956,2205,2234
SAUSA300_1184,256,148,196,191
SAUSA300_1185,3437,3657,2403,2180
SAUSA300_1186,2511,2939,1866,2053
SAUSA300_1187,3539,4048,2744,2995
SAUSA300_1188,644,602,601,620
SAUSA300_1189,1094,1167,1405,1411
SAUSA300_1190,687,732,941,1050
SAUSA300_1191,3692,3485,4774,5767
SAUSA300_1192,1228,1278,2883,3693
SAUSA300_1193,1491,1721,984,1098
SAUSA300_1194,445,532,205,225
SAUSA300_1195,1476,1475,971,937
SAUSA300_1196,2323,2469,1742,1400
SAUSA300_1197,3440,2920,3020,2673
SAUSA300_1198,458,595,525,423
SAUSA300_1199,564,482,603,591
SAUSA300_1200,4252,3578,2536,2437
SAUSA300_1201,7326,7849,7551,7446
SAUSA300_1202,127,46,126,91
SAUSA300_1203,237,307,284,264
SAUSA300_1204,825,800,483,559
SAUSA300_1205,116,68,107,92
SAUSA300_1206,46,30,42,54
SAUSA300_1207,61,30,38,77
SAUSA300_1208,664,490,198,216
SAUSA300_1209,174,63,161,220
SAUSA300_1210,1741,1634,1278,1211
SAUSA300_1211,1790,1545,1258,1136
SAUSA300_1212,774,766,596,484
SAUSA300_1213,828,674,499,462
SAUSA300_1214,72,74,27,25
SAUSA300_1215,1583,1423,1404,1696
SAUSA300_1216,889,855,912,896
SAUSA300_1217,25,29,24,16
SAUSA300_1218,45,33,67,26
SAUSA300_1219,274,356,218,243
SAUSA300_1220,818,664,529,502
SAUSA300_1221,478,498,639,648
SAUSA300_1222,154,93,149,228
SAUSA300_1223,1393,1458,2147,1979
SAUSA300_1224,2137,1647,2313,2591
SAUSA300_1225,814,858,121,87
SAUSA300_1226,4304,4376,466,429
SAUSA300_1227,8880,9299,1359,1203
SAUSA300_1228,5100,5345,675,700
SAUSA300_1229,8840,8652,3843,3783
SAUSA300_1230,1071,1163,1206,1245
SAUSA300_1231,1414,1551,1297,1268
SAUSA300_1232,16560,17499,7269,7551
SAUSA300_1233,55896,55750,46649,67088
SAUSA300_1234,23566,22056,40865,53661
SAUSA300_1235,411,457,1154,1177
SAUSA300_1236,1647,1677,2064,2158
SAUSA300_1237,27472,26533,8255,6942
SAUSA300_1238,3969,3745,707,716
SAUSA300_1239,13513,12351,8420,8364
SAUSA300_1240,3929,3157,6350,7246
SAUSA300_1241,815,648,1031,979
SAUSA300_1242,669,691,314,396
SAUSA300_1243,1055,1042,734,747
SAUSA300_1244,4034,3596,3289,2937
SAUSA300_1245,6329,6014,8895,9386
SAUSA300_1246,30035,30026,18922,22658
SAUSA300_1247,3071,2779,1691,1581
SAUSA300_1248,881,720,969,1063
SAUSA300_1249,2818,2781,4803,4934
SAUSA300_1250,2615,2383,2365,2369
SAUSA300_1251,2660,2627,2948,3026
SAUSA300_1252,1768,1627,2998,3357
SAUSA300_1253,419,422,219,251
SAUSA300_1254,1761,1704,2180,2361
SAUSA300_1255,1632,1690,2042,2181
SAUSA300_1256,1697,1916,706,654
SAUSA300_1257,1965,2091,3056,2333
SAUSA300_1258,12037,13148,11722,11029
SAUSA300_1259,1319,1299,197,174
SAUSA300_1260,1155,1134,818,843
SAUSA300_1261,1854,2114,1256,1261
SAUSA300_1262,25,41,38,29
SAUSA300_1263,31,53,29,25
SAUSA300_1264,20,35,41,42
SAUSA300_1265,8,15,24,28
SAUSA300_1266,15,12,35,13
SAUSA300_1267,32,72,62,55
SAUSA300_1268,161,254,214,227
SAUSA300_1269,3505,3600,2421,2436
SAUSA300_1270,5680,5625,4707,4923
SAUSA300_1271,762,854,617,571
SAUSA300_1272,1582,1640,1044,885
SAUSA300_1273,176,177,194,171
SAUSA300_1274,108,101,60,75
SAUSA300_1275,115,91,50,61
SAUSA300_1276,65,133,37,41
SAUSA300_1277,1627,1625,2685,2049
SAUSA300_1278,4739,4649,4500,4434
SAUSA300_1279,113,77,58,94
SAUSA300_1280,29,40,70,61
SAUSA300_1281,24,43,32,25
SAUSA300_1282,9,20,23,12
SAUSA300_1283,19,7,20,25
SAUSA300_1284,3532,3953,3450,3380
SAUSA300_1285,990,855,2528,2251
SAUSA300_1286,719,833,425,436
SAUSA300_1287,1223,1443,683,608
SAUSA300_1288,1315,1211,653,673
SAUSA300_1289,1319,1341,630,746
SAUSA300_1290,1909,1902,1116,1015
SAUSA300_1291,641,727,461,391
SAUSA300_1292,634,626,410,477
SAUSA300_1293,1795,1836,1763,1673
SAUSA300_1294,423,451,122,200
SAUSA300_1295,82094,67231,65421,158571
SAUSA300_1296,326,292,177,143
SAUSA300_1297,3557,3633,2601,3198
SAUSA300_1298,3055,3450,2572,2572
SAUSA300_1299,5346,6319,5259,5199
SAUSA300_1300,463,518,475,471
SAUSA300_1301,827,726,658,699
SAUSA300_1302,531,458,398,367
SAUSA300_1303,6393,6398,4872,4387
SAUSA300_1304,8779,8580,6770,6421
SAUSA300_1305,16625,16722,14973,12987
SAUSA300_1306,14003,14639,10381,10576
SAUSA300_1307,1028,1009,752,654
SAUSA300_1308,1098,1084,1109,1154
SAUSA300_1309,1647,1731,1891,1646
SAUSA300_1310,721,706,781,863
SAUSA300_1311,531,453,718,728
SAUSA300_1312,333,387,555,646
SAUSA300_1313,2705,2641,1989,1844
SAUSA300_1314,12337,11578,10728,13541
SAUSA300_1315,11974,10670,11524,12031
SAUSA300_1316,14839,13731,15781,15645
SAUSA300_1317,11771,13428,13500,13587
SAUSA300_1318,2984,2741,3260,3525
SAUSA300_1319,2772,2567,2711,2705
SAUSA300_1320,1350,1337,1397,1524
SAUSA300_1321,4957,4557,3933,4439
SAUSA300_1322,4611,4810,4621,4307
SAUSA300_1323,3946,3799,4169,3751
SAUSA300_1324,279,252,200,245
SAUSA300_1325,649,636,987,1174
SAUSA300_1326,499,378,131,149
