key,Gal_NO_A,Gal_NO_B,Gal_A,Gal_B
SAUSA300_1327,538,638,289,279
SAUSA300_1328,61,100,80,80
SAUSA300_1329,55,91,202,154
SAUSA300_1330,99,96,614,470
SAUSA300_1331,178,139,1142,935
SAUSA300_1332,1312,1262,2305,2502
SAUSA300_1333,1240,1305,1474,1552
SAUSA300_1334,37,35,240,253
SAUSA300_1335,1231,1158,2276,2293
SAUSA300_1336,1139,1230,2155,2000
SAUSA300_1337,12273,13128,15856,12201
SAUSA300_1338,4807,5339,4899,4968
SAUSA300_1339,2982,2828,2693,2883
SAUSA300_1340,3980,3415,6505,6633
SAUSA300_1341,16018,19245,28553,27101
SAUSA300_1342,1402,1197,436,421
SAUSA300_1343,2325,2274,774,799
SAUSA300_1344,1824,2190,704,613
SAUSA300_1345,3161,3199,7424,7233
SAUSA300_1346,2121,2088,1586,1575
SAUSA300_1347,1938,2133,1561,1231
SAUSA300_1348,1368,1368,784,826
SAUSA300_1349,1643,1683,832,913
SAUSA300_1350,892,750,353,350
SAUSA300_1351,37663,44587,32862,41912
SAUSA300_1352,411,409,493,456
SAUSA300_1353,502,555,451,628
SAUSA300_1354,2127,2386,2582,2463
SAUSA300_1355,1618,1613,1614,1587
SAUSA300_1356,772,759,766,843
SAUSA300_1357,991,1000,778,999
SAUSA300_1358,7117,6656,9444,10024
SAUSA300_1359,3943,3804,2558,2627
SAUSA300_1360,4648,4041,3260,2999
SAUSA300_1361,963,1090,578,638
SAUSA300_1362,100520,134186,63062,155986
SAUSA300_1363,4640,4609,5143,5263
SAUSA300_1364,4765,4835,4790,4840
SAUSA300_1365,53218,51116,40692,38653
SAUSA300_1366,110,176,113,174
SAUSA300_1367,3147,4049,1971,1782
SAUSA300_1368,461,438,817,793
SAUSA300_1369,1141,1007,1087,1099
SAUSA300_1370,12465,16443,12267,11295
SAUSA300_1371,1460,1623,1163,1051
SAUSA300_1372,1463,1307,750,641
SAUSA300_1373,29492,27271,5845,6189
SAUSA300_1374,8514,9813,3110,2741
SAUSA300_1375,226,208,89,108
SAUSA300_1376,223,306,109,71
SAUSA300_1377,39,10,11,42
SAUSA300_1378,32,57,31,36
SAUSA300_1379,12,16,7,7
SAUSA300_1380,18,27,30,36
SAUSA300_1381,364,424,425,459
SAUSA300_1382,143,202,170,287
SAUSA300_1383,23,19,24,18
SAUSA300_1384,1,1,10,3
SAUSA300_1385,40,45,31,15
SAUSA300_1386,17,0,9,13
SAUSA300_1387,5,17,7,11
SAUSA300_1388,9,18,14,12
SAUSA300_1389,49,43,46,45
SAUSA300_1390,43,51,26,15
SAUSA300_1391,24,27,21,15
SAUSA300_1392,21,16,22,22
SAUSA300_1393,44,55,48,53
SAUSA300_1394,0,2,4,2
SAUSA300_1395,1,8,3,0
SAUSA300_1396,145,113,115,112
SAUSA300_1397,95,49,56,63
SAUSA300_1398,28,45,25,31
SAUSA300_1399,6,0,22,9
SAUSA300_1400,14,22,47,35
SAUSA300_1401,17,15,25,29
SAUSA300_1402,30,7,32,19
SAUSA300_1403,27,57,49,55
SAUSA300_1404,25,19,29,18
SAUSA300_1405,0,18,13,6
SAUSA300_1406,2,1,1,2
SAUSA300_1407,238,205,140,206
SAUSA300_1408,109,127,98,65
SAUSA300_1409,69,65,47,85
SAUSA300_1410,58,56,73,75
SAUSA300_1411,21,12,46,45
SAUSA300_1412,36,17,49,34
SAUSA300_1413,21,19,18,52
SAUSA300_1414,19,5,10,16
SAUSA300_1415,0,32,12,4
SAUSA300_1416,1,0,9,17
SAUSA300_1417,16,2,9,21
SAUSA300_1418,3,2,6,7
SAUSA300_1419,8,12,18,64
SAUSA300_1420,15,14,7,9
SAUSA300_1421,4,1,3,13
SAUSA300_1422,10,0,4,0
SAUSA300_1423,11,4,13,5
SAUSA300_1424,15,17,14,29
SAUSA300_1425,13,8,13,7
SAUSA300_1426,2,1,4,4
SAUSA300_1427,7,11,19,15
SAUSA300_1428,3,3,6,2
SAUSA300_1429,14,31,18,29
SAUSA300_1430,4,0,9,3
SAUSA300_1431,4,11,14,1
SAUSA300_1432,1414,1064,1807,2250
SAUSA300_1433,12,25,40,2
SAUSA300_1434,1282,1230,1087,1050
SAUSA300_1435,2255,2219,1798,2002
SAUSA300_1436,1661,2234,1785,1797
SAUSA300_1437,1403,1096,1362,1610
SAUSA300_1438,232,262,143,188
SAUSA300_1439,123,108,96,84
SAUSA300_1440,188,312,158,164
SAUSA300_1441,1799,1848,2479,2508
SAUSA300_1442,5386,4579,8104,8491
SAUSA300_1443,2049,1981,2249,1957
SAUSA300_1444,1505,1376,1281,1215
SAUSA300_1445,793,807,811,891
SAUSA300_1446,218,217,176,164
SAUSA300_1447,5379,5633,2286,2364
SAUSA300_1448,10965,10596,7154,7272
SAUSA300_1449,661,784,811,1014
SAUSA300_1450,2168,2223,3392,3406
SAUSA300_1451,580,500,510,444
SAUSA300_1452,5035,5221,2342,2123
SAUSA300_1453,1513,1387,742,783
SAUSA300_1454,8403,9077,4424,3906
SAUSA300_1455,3834,3752,2778,2539
SAUSA300_1456,1225,1352,2022,1808
SAUSA300_1457,427,469,490,527
SAUSA300_1458,3680,3943,3339,3133
SAUSA300_1459,11374,11406,13982,14086
SAUSA300_1460,1600,1434,1076,1084
SAUSA300_1461,302,279,208,211
SAUSA300_1462,1188,1137,957,951
SAUSA300_1463,2611,2839,2358,2147
SAUSA300_1464,4027,4107,4505,4716
SAUSA300_1465,4597,4810,5206,4955
SAUSA300_1466,5227,5012,6164,5736
SAUSA300_1467,2197,2216,2474,2543
SAUSA300_1468,1881,1725,2379,2274
SAUSA300_1469,1465,1340,1798,1451
SAUSA300_1470,5081,4791,6069,5602
SAUSA300_1471,4874,4588,6090,5459
SAUSA300_1472,3840,3982,4447,4333
SAUSA300_1473,6452,6380,7371,6525
SAUSA300_1474,4425,4838,6915,5953
SAUSA300_1475,4128,4318,7176,6334
SAUSA300_1476,4622,5105,8247,6914
SAUSA300_1477,2269,2335,1921,2270
SAUSA300_1478,992,947,1128,1221
SAUSA300_1479,71,65,74,57
SAUSA300_1480,36,33,60,58
SAUSA300_1481,111,116,120,109
SAUSA300_1482,8,14,10,6
SAUSA300_1483,44,37,64,57
SAUSA300_1484,25,15,31,32
SAUSA300_1485,48,28,44,41
SAUSA300_1486,35,23,24,31
SAUSA300_1487,42,20,33,42
SAUSA300_1488,80,30,59,59
SAUSA300_1489,145,186,126,143
SAUSA300_1490,20089,19660,31948,32164
SAUSA300_1491,3275,3457,4017,4310
SAUSA300_1492,1707,1963,1067,953
SAUSA300_1493,2017,2268,1380,1128
SAUSA300_1494,9638,9339,6370,4501
SAUSA300_1495,4802,5922,7722,7068
SAUSA300_1496,16762,17099,30654,31260
SAUSA300_1497,11518,12381,19366,20549
SAUSA300_1498,7071,6662,10479,11395
SAUSA300_1499,5172,4221,2293,4044
SAUSA300_1500,33,55,27,23
SAUSA300_1501,24,6,24,47
SAUSA300_1502,12,21,15,11
SAUSA300_1503,31,8,27,20
SAUSA300_1504,97,93,76,88
SAUSA300_1505,2982,3060,5715,6650
SAUSA300_1506,1733,1633,3451,3882
SAUSA300_1507,2119,1913,3889,4539
SAUSA300_1508,1088,742,2159,2434
SAUSA300_1509,781,672,1377,1505
SAUSA300_1510,771,767,977,1160
SAUSA300_1511,3746,3669,7514,7089
SAUSA300_1512,2627,2617,2936,2433
SAUSA300_1513,28920,27416,9428,9269
SAUSA300_1514,392,440,584,701
SAUSA300_1515,637,590,903,962
SAUSA300_1516,698,510,950,991
SAUSA300_1517,2456,2748,2955,2969
SAUSA300_1518,1629,1693,1652,1654
SAUSA300_1519,1457,1339,1087,1108
SAUSA300_1520,1097,993,743,757
SAUSA300_1521,9145,9318,8897,7422
SAUSA300_1522,3431,3778,2437,2290
SAUSA300_1523,2129,2125,2605,2198
SAUSA300_1524,1072,1024,995,788
SAUSA300_1525,4085,3954,8342,8515
SAUSA300_1526,1553,1550,1607,1675
SAUSA300_1527,2090,2077,2372,2387
SAUSA300_1528,1826,2019,2037,1754
SAUSA300_1529,797,726,668,704
SAUSA300_1530,1518,1305,1260,1509
SAUSA300_1531,2153,2068,1751,1428
SAUSA300_1532,11610,11263,18142,16200
SAUSA300_1533,16655,17240,24554,26022
SAUSA300_1534,5304,5403,8582,8144
SAUSA300_1535,73470,48557,44158,40815
SAUSA300_1536,2488,2602,2398,2348
SAUSA300_1537,513,398,418,485
SAUSA300_1538,1618,1439,1992,2110
SAUSA300_1539,901,967,1397,1542
SAUSA300_1540,8828,9263,12614,12595
SAUSA300_1541,3609,3353,5299,5013
SAUSA300_1542,1082,1034,1237,1421
SAUSA300_1543,247,241,209,240
SAUSA300_1544,1969,1992,2298,2227
SAUSA300_1545,7484,5265,27548,32620
SAUSA300_1546,486,466,342,316
SAUSA300_1547,81,67,68,62
SAUSA300_1548,1181,1068,921,847
SAUSA300_1549,465,475,356,337
SAUSA300_1550,4437,3990,3352,3657
SAUSA300_1551,6885,7234,6778,6728
SAUSA300_1552,1438,1298,2129,2511
SAUSA300_1553,1509,1436,2572,2869
SAUSA300_1554,984,820,1513,1593
SAUSA300_1555,1210,1090,2068,2109
SAUSA300_1556,1495,1560,2904,2711
SAUSA300_1557,896,764,1448,1550
SAUSA300_1558,732,717,1092,1098
SAUSA300_1559,59,102,30,41
SAUSA300_1560,267,277,142,140
SAUSA300_1561,1092,1118,2300,2810
SAUSA300_1562,1229,1308,2680,3861
SAUSA300_1563,1679,1708,3503,4460
SAUSA300_1564,1466,1421,2965,4119
SAUSA300_1565,1243,1199,2408,3134
SAUSA300_1566,1102,1219,2635,3667
SAUSA300_1567,10860,9989,15814,14423
SAUSA300_1568,5109,5046,6222,5990
SAUSA300_1569,4500,4575,4693,4614
SAUSA300_1570,2173,2010,1442,1647
SAUSA300_1571,990,1026,616,594
SAUSA300_1572,36729,32447,22035,18197
SAUSA300_1573,16828,18378,9245,9627
SAUSA300_1574,17242,15158,8319,8697
SAUSA300_1575,2476,2658,2599,2790
SAUSA300_1576,1698,1857,1436,1508
SAUSA300_1577,863,807,630,645
SAUSA300_1578,2704,2663,1833,1875
SAUSA300_1579,1700,1782,1037,1084
SAUSA300_1580,603,652,239,184
SAUSA300_1581,15602,15550,16726,15046
SAUSA300_1582,22558,24979,23246,20304
SAUSA300_1583,5265,5582,4549,3528
SAUSA300_1584,1605,1755,2393,2095
SAUSA300_1585,1035,1123,1555,1797
SAUSA300_1586,2204,1921,5828,6107
SAUSA300_1587,890,956,1987,2160
SAUSA300_1588,7097,6957,5208,5245
SAUSA300_1589,6404,6503,4236,4654
SAUSA300_1590,5473,5482,3536,3448
SAUSA300_1591,881,683,1144,1068
SAUSA300_1592,600,512,878,887
SAUSA300_1593,3353,3495,4539,4255
SAUSA300_1594,12686,12180,18983,18575
SAUSA300_1595,1937,2117,4381,4702
SAUSA300_1596,1305,1410,1904,2183
SAUSA300_1597,2361,2731,3814,4083
SAUSA300_1598,1597,1821,2331,2691
SAUSA300_1599,1487,1218,1992,2620
SAUSA300_1600,2237,2386,2962,3212
SAUSA300_1601,41328,40031,54172,62047
SAUSA300_1602,9187,8224,10138,13641
SAUSA300_1603,24461,25775,36741,41836
SAUSA300_1604,1057,1099,1036,1410
SAUSA300_1605,1774,1654,2212,2287
SAUSA300_1606,1278,1305,2552,2208
SAUSA300_1607,1665,1226,1742,1989
SAUSA300_1608,81,84,70,92
SAUSA300_1609,112,60,48,36
SAUSA300_1610,2580,2487,4658,4787
SAUSA300_1611,2131,2091,4332,4364
SAUSA300_1612,1263,1272,595,609
SAUSA300_1613,1467,1595,1759,1846
SAUSA300_1614,2487,2362,4872,4511
SAUSA300_1615,1513,1253,2792,2521
SAUSA300_1616,442,346,726,589
SAUSA300_1617,3123,3237,2859,3027
SAUSA300_1618,928,810,562,695
SAUSA300_1619,3263,3077,5564,5167
SAUSA300_1620,291,282,372,401
SAUSA300_1621,10826,12114,12639,11554
SAUSA300_1622,10369,11245,22183,21396
SAUSA300_1623,787,803,687,672
SAUSA300_1624,1002,1005,913,898
SAUSA300_1625,6408,6166,10819,12025
SAUSA300_1626,7061,7205,13055,14086
SAUSA300_1627,12963,15443,25392,21010
SAUSA300_1628,545,499,873,1121
SAUSA300_1629,10487,10069,5020,5212
SAUSA300_1630,3283,3272,2744,2890
SAUSA300_1631,2425,2404,1748,1667
SAUSA300_1632,2523,2368,1915,2060
SAUSA300_1633,2435,2540,3473,3150
SAUSA300_1634,3227,3641,3039,3206
SAUSA300_1635,2052,2297,2031,2319
SAUSA300_1636,1421,1265,1155,1225
SAUSA300_1637,125,114,107,92
SAUSA300_1638,2054,2040,1325,1134
SAUSA300_1639,1842,1797,1136,1008
SAUSA300_1640,26945,26788,16933,18541
SAUSA300_1641,11922,12881,5275,6072
SAUSA300_1642,3187,3140,4102,4052
SAUSA300_1643,50,56,86,100
SAUSA300_1644,7420,6852,12428,13708
SAUSA300_1645,3318,3516,3158,3678
SAUSA300_1646,5776,5304,4339,4589
SAUSA300_1647,5422,4805,4283,4335
SAUSA300_1648,5310,4861,4754,4977
SAUSA300_1649,1567,1524,1190,1206
SAUSA300_1650,1944,1885,1546,1487
SAUSA300_1651,1760,1681,1284,1274
SAUSA300_1652,16539,18594,29384,28600
SAUSA300_1653,1997,1745,2740,2823
SAUSA300_1654,4614,4410,3817,3429
SAUSA300_1655,7746,7060,11676,13516
SAUSA300_1656,66820,64618,52043,83374
SAUSA300_1657,4909,4405,6155,6133
SAUSA300_1658,835,932,617,637
SAUSA300_1659,11907,13045,11105,11298
SAUSA300_1660,103,89,144,214
SAUSA300_1661,172,166,285,291
SAUSA300_1662,95,120,113,137
SAUSA300_1663,92,65,71,125
SAUSA300_1664,3852,3529,5549,6242
SAUSA300_1665,1069,899,1513,1372
SAUSA300_1666,15011,16464,41390,41579
SAUSA300_1667,343,438,325,334
SAUSA300_1668,1639,1832,916,771
SAUSA300_1669,587,669,413,395
SAUSA300_1670,870,835,625,466
SAUSA300_1671,972,912,574,612
SAUSA300_1672,1164,1121,1807,1947
SAUSA300_1673,694,604,968,1208
SAUSA300_1674,3161,3414,6521,5733
SAUSA300_1675,540,456,1373,1452
SAUSA300_1676,513,517,325,301
SAUSA300_1677,8924,10573,3136,2709
SAUSA300_1678,20210,19440,28891,27208
SAUSA300_1679,2758,2796,3978,4236
SAUSA300_1680,1810,1703,1268,1267
SAUSA300_1681,1503,1381,1230,1250
SAUSA300_1682,4410,3980,4967,4710
SAUSA300_1683,3734,4023,2490,3111
SAUSA300_1684,9901,12899,9389,7815
SAUSA300_1685,15078,15201,34268,32453
SAUSA300_1686,2095,1879,2717,2993
SAUSA300_1687,3307,3488,4574,4402
SAUSA300_1688,2705,1993,3249,2925
SAUSA300_1689,1911,1757,2072,2237
SAUSA300_1690,3308,2628,3103,3380
SAUSA300_1691,2098,2213,2184,2118
SAUSA300_1692,1528,901,886,961
SAUSA300_1693,2105,2276,1093,1084
SAUSA300_1694,8111,8512,6345,6157
SAUSA300_1695,12953,12802,10116,9168
SAUSA300_1696,14796,15079,12294,12181
SAUSA300_1697,11243,11258,8573,8497
SAUSA300_1698,3935,4796,7701,7310
SAUSA300_1699,2016,1986,4063,3785
SAUSA300_1700,1139,1141,1823,1871
SAUSA300_1701,1043,1285,1051,1088
SAUSA300_1702,473,569,234,238
SAUSA300_1703,1433,1256,2632,3357
SAUSA300_1704,1214,1128,2212,2444
SAUSA300_1705,817,866,1060,999
SAUSA300_1706,738,830,689,715
SAUSA300_1707,773,824,766,775
SAUSA300_1708,6185,4565,7986,10079
SAUSA300_1709,46,20,41,20
SAUSA300_1710,2596,2298,2022,2119
SAUSA300_1711,1781,1698,6319,6970
SAUSA300_1712,375,209,430,491
SAUSA300_1713,334,279,233,323
SAUSA300_1714,196,171,153,244
SAUSA300_1715,309,312,226,335
SAUSA300_1716,145,132,139,173
SAUSA300_1717,101,104,124,139
SAUSA300_1718,129,147,203,215
SAUSA300_1719,411,557,855,737
SAUSA300_1720,6412,6672,4306,3792
SAUSA300_1721,1182,1204,624,547
SAUSA300_1722,169,129,144,169
SAUSA300_1723,517,523,246,248
SAUSA300_1724,46,52,56,69
SAUSA300_1725,17755,17276,6429,5667
SAUSA300_1726,181,120,159,154
SAUSA300_1727,24,15,25,27
SAUSA300_1728,792,738,1314,1288
SAUSA300_1729,2797,2734,2413,2482
SAUSA300_1730,5812,6544,8034,8266
SAUSA300_1731,10149,10071,15349,15459
SAUSA300_1732,1907,1943,2187,2075
SAUSA300_1733,1456,1532,1043,1071
SAUSA300_1734,319,466,212,329
SAUSA300_1735,931,1054,763,821
SAUSA300_1736,2891,3059,1326,1610
SAUSA300_1737,586,630,503,543
SAUSA300_1738,292,371,130,159
SAUSA300_1739,4923,5234,11079,10432
SAUSA300_1740,9354,10404,19392,17201
SAUSA300_1741,245,202,765,681
SAUSA300_1742,296,323,1273,1101
SAUSA300_1743,284,219,717,1000
SAUSA300_1744,249,302,665,614
SAUSA300_1745,312,310,137,164
SAUSA300_1746,135,20,35,69
SAUSA300_1747,278,308,161,201
SAUSA300_1748,227,287,155,222
SAUSA300_1749,145,158,182,224
SAUSA300_1750,111,107,151,162
SAUSA300_1751,444,420,642,653
SAUSA300_1752,472,576,629,672
SAUSA300_1753,96,61,83,64
SAUSA300_1754,71,30,73,51
SAUSA300_1755,36,75,70,46
SAUSA300_1756,41,9,60,60
SAUSA300_1757,28,22,47,60
SAUSA300_1758,29,40,83,79
SAUSA300_1759,15,36,14,25
SAUSA300_1760,283,276,169,162
SAUSA300_1761,348,429,360,324
SAUSA300_1762,521,431,790,607
SAUSA300_1763,202,148,232,236
SAUSA300_1764,56,66,47,43
SAUSA300_1765,63,57,42,50
SAUSA300_1766,49,51,34,35
SAUSA300_1767,503,694,669,668
SAUSA300_1768,17,6,16,14
SAUSA300_1769,10,11,15,7
SAUSA300_1770,253,197,165,120
SAUSA300_1771,848,871,434,537
SAUSA300_1772,36681,47521,43764,78834
SAUSA300_1773,4504,5263,5306,5992
SAUSA300_1774,4467,7344,6702,9122
SAUSA300_1775,58259,74096,63887,106840
SAUSA300_1776,14056,22166,11406,8588
SAUSA300_1777,33027,63310,66512,152599
SAUSA300_1778,125242,79363,66672,174341
SAUSA300_1779,10362,16485,23554,36432
SAUSA300_1780,776,798,1198,1114
SAUSA300_1781,2492,2453,3014,3238
SAUSA300_1782,980,1026,1241,1539
SAUSA300_1783,1199,1245,1400,1556
SAUSA300_1784,6076,7119,10840,10566
SAUSA300_1785,2193,2267,2733,2957
SAUSA300_1786,3974,4576,4477,4390
SAUSA300_1787,3752,3605,2700,3129
SAUSA300_1788,12977,12713,15100,14622
SAUSA300_1789,87,79,112,131
SAUSA300_1790,20055,21581,28310,38977
SAUSA300_1791,8375,8882,10788,10491
SAUSA300_1792,5173,5438,5762,5109
SAUSA300_1793,3587,3682,2649,2488
SAUSA300_1794,0,0,48,9
SAUSA300_1795,27773,30075,45386,43490
SAUSA300_1796,793,741,432,478
SAUSA300_1797,1977,1843,2144,2100
SAUSA300_1798,804,1095,750,576
SAUSA300_1799,687,739,504,526
SAUSA300_1800,1264,1204,1619,1516
SAUSA300_1801,4069,3786,5256,5526
SAUSA300_1802,482,611,519,392
SAUSA300_1803,11516,9528,10687,10183
SAUSA300_1804,12056,11365,14459,11780
SAUSA300_1805,589,539,774,640
SAUSA300_1806,425,423,726,713
SAUSA300_1807,112,159,156,129
SAUSA300_1808,47,75,55,65
SAUSA300_1809,822,634,992,1045
SAUSA300_1810,90,85,202,174
SAUSA300_1811,20107,25563,54879,69895
SAUSA300_1812,8812,15230,17097,27934
SAUSA300_1813,17058,26013,35139,49146
SAUSA300_1814,26391,41058,35016,57928
SAUSA300_1815,15871,16170,20509,32048
SAUSA300_1816,15792,21810,18591,20262
SAUSA300_1817,27110,34829,33801,52755
SAUSA300_1818,4940,6644,8800,12797
SAUSA300_1819,4150,5819,5601,5714
SAUSA300_1820,50325,99661,67437,180184
SAUSA300_1821,130065,79085,66851,174438
SAUSA300_1822,18509,25482,31190,43356
SAUSA300_1823,139418,193927,67657,180913
SAUSA300_1824,133461,84423,67010,175071
SAUSA300_1825,135549,227120,66331,174950
SAUSA300_1826,9080,10597,7789,6283
SAUSA300_1827,15140,14723,22906,21605
SAUSA300_1828,140435,238097,67917,182143
SAUSA300_1829,16889,26294,40463,87430
SAUSA300_1830,9053,11230,18611,23550
SAUSA300_1831,36654,47049,64753,81897
SAUSA300_1832,139886,237878,67710,181499
SAUSA300_1833,7052,10195,8342,14110
SAUSA300_1834,13951,18955,3428,22433
SAUSA300_1835,9076,13067,15354,16124
SAUSA300_1836,140023,237088,67730,181412
SAUSA300_1837,6373,5308,11651,14567
SAUSA300_1838,211,196,306,686
SAUSA300_1839,140761,238752,68194,182471
SAUSA300_1840,5252,4163,7439,11312
SAUSA300_1841,68,46,159,254
SAUSA300_1842,27032,27912,12787,14255
SAUSA300_1843,4385,4788,2429,2459
SAUSA300_1844,3692,3344,1930,2101
SAUSA300_1845,4666,4409,3453,3037
SAUSA300_1846,1675,2006,1003,1016
SAUSA300_1847,268,265,161,199
SAUSA300_1848,1796,1668,1004,848
SAUSA300_1849,518,539,350,270
SAUSA300_1850,4742,4918,3637,3490
SAUSA300_1851,2029,1942,1230,1365
SAUSA300_1852,1940,1927,1095,1026
SAUSA300_1853,2809,2805,1843,1510
SAUSA300_1854,904,1035,601,623
SAUSA300_1855,2634,2651,1725,1667
SAUSA300_1856,5689,5351,4177,4021
SAUSA300_1857,1230,942,846,776
SAUSA300_1858,740,665,502,430
SAUSA300_1859,5328,5068,4943,5119
SAUSA300_1860,3100,3123,2949,2609
SAUSA300_1861,2695,3239,1714,1872
SAUSA300_1862,6711,6575,8493,7704
SAUSA300_1863,8591,7956,10114,10373
SAUSA300_1864,1314,1312,2604,2196
SAUSA300_1865,3126,2869,4032,4028
SAUSA300_1866,2391,2324,2982,2730
SAUSA300_1867,1181,1055,905,1111
SAUSA300_1868,1049,1087,852,848
SAUSA300_1869,5547,5058,3225,3293
SAUSA300_1870,747,789,510,511
SAUSA300_1871,91,152,57,82
SAUSA300_1872,3687,3498,2994,2943
SAUSA300_1873,2043,2053,1415,1417
SAUSA300_1874,15950,17817,1244,1153
SAUSA300_1875,1944,2396,493,652
SAUSA300_1876,630,557,382,359
SAUSA300_1877,3395,3555,1257,1258
SAUSA300_1878,291,271,410,426
SAUSA300_1879,1309,1250,758,743
SAUSA300_1880,8219,8073,15197,14935
SAUSA300_1881,5781,5299,8066,7411
SAUSA300_1882,7058,6631,6794,6936
SAUSA300_1883,1202,1111,4089,4556
SAUSA300_1884,2201,2235,2834,2792
SAUSA300_1885,1070,1111,1529,1455
SAUSA300_1886,815,838,1051,1019
SAUSA300_1887,347,367,372,368
SAUSA300_1888,5930,5118,5063,5202
SAUSA300_1889,4395,4718,5012,4418
SAUSA300_1890,299,381,416,448
SAUSA300_1891,4880,4406,4779,5377
SAUSA300_1892,2049,1726,2022,2300
SAUSA300_1893,1527,1686,1903,1981
SAUSA300_1894,721,673,788,922
SAUSA300_1895,955,1013,1686,1357
SAUSA300_1896,1339,1420,1657,1642
SAUSA300_1897,1539,1518,1204,1307
SAUSA300_1898,539,524,559,580
SAUSA300_1899,4644,4421,3860,3480
SAUSA300_1900,10672,11018,13242,13168
SAUSA300_1901,2668,2402,1440,1186
SAUSA300_1902,1556,1473,1628,1660
SAUSA300_1903,874,1342,507,449
SAUSA300_1904,11829,9984,9934,10008
SAUSA300_1905,231,316,285,255
SAUSA300_1906,4979,4816,3009,3197
SAUSA300_1907,3813,4213,3290,2614
SAUSA300_1908,2808,2825,2146,2067
SAUSA300_1909,3362,3164,5230,5141
SAUSA300_1910,449,402,461,538
SAUSA300_1911,1086,1263,1168,1232
SAUSA300_1912,393,287,296,321
SAUSA300_1913,827,714,628,776
SAUSA300_1914,575,526,457,557
SAUSA300_1915,314,237,373,519
SAUSA300_1916,3664,3617,3812,3966
SAUSA300_1917,361,310,1267,1215
SAUSA300_1918,151,96,71,145
SAUSA300_1919,5155,5347,13433,11800
SAUSA300_1920,187,178,8598,7683
SAUSA300_1921,724,679,1062,1018
SAUSA300_1922,537,464,792,619
SAUSA300_1923,222,180,150,103
SAUSA300_1924,120,127,86,146
SAUSA300_1925,317,359,298,306
SAUSA300_1926,258,145,135,196
SAUSA300_1927,51,92,74,47
SAUSA300_1928,257,223,317,281
SAUSA300_1929,104,140,166,103
SAUSA300_1930,313,312,378,292
SAUSA300_1931,684,475,553,411
SAUSA300_1932,1275,1606,1258,756
SAUSA300_1933,320,381,285,399
SAUSA300_1934,486,511,502,510
SAUSA300_1935,513,542,659,548
SAUSA300_1936,270,222,216,197
SAUSA300_1937,658,877,858,726
SAUSA300_1938,732,767,719,501
SAUSA300_1939,765,760,937,807
SAUSA300_1940,152,188,271,166
SAUSA300_1941,131,154,205,171
SAUSA300_1942,208,231,558,251
SAUSA300_1943,152,143,388,244
SAUSA300_1944,623,506,1458,814
SAUSA300_1945,179,175,251,205
SAUSA300_1946,370,259,511,373
SAUSA300_1947,193,117,329,306
SAUSA300_1948,69,39,173,167
SAUSA300_1949,279,372,660,462
SAUSA300_1950,101,143,170,226
SAUSA300_1951,152,287,398,330
SAUSA300_1952,196,156,339,176
SAUSA300_1953,179,192,350,204
SAUSA300_1954,333,329,491,380
SAUSA300_1955,186,356,557,306
SAUSA300_1956,258,230,355,201
SAUSA300_1957,189,233,505,339
SAUSA300_1958,222,241,516,352
SAUSA300_1959,402,469,719,469
SAUSA300_1960,583,576,891,575
SAUSA300_1961,308,333,575,341
SAUSA300_1962,572,483,1170,686
SAUSA300_1963,421,298,981,837
SAUSA300_1964,909,947,1851,954
SAUSA300_1965,2795,2122,3789,5207
SAUSA300_1966,1310,1658,2889,1905
SAUSA300_1967,479,476,1019,814
SAUSA300_1968,514,582,989,753
SAUSA300_1969,3040,3398,2521,2307
SAUSA300_1970,1224,1060,1022,1050
SAUSA300_1971,1244,1210,1032,1095
SAUSA300_1972,248,246,191,174
SAUSA300_1973,329,230,295,324
SAUSA300_1974,361,330,363,320
SAUSA300_1975,237,253,386,355
SAUSA300_1976,569,624,390,379
SAUSA300_1977,947,802,814,919
SAUSA300_1978,517,682,727,788
SAUSA300_1979,684,643,402,399
SAUSA300_1980,298,295,230,207
SAUSA300_1981,42,8,249,91
SAUSA300_1982,4521,4206,6412,6505
SAUSA300_1983,3748,3475,4702,4637
SAUSA300_1984,940,903,1113,1426
SAUSA300_1985,2043,2258,973,733
